source,definition,rows,target_rate,prediction_mean,auc_exp016,log_loss,calibration_gap,weak_candidate,weak_reasons,severity,auc_exp022,auc_exp019,auc_exp003,auc_exp006,auc_exp008,best_model,best_model_auc,best_alt_delta_vs_exp016
oof_fixed_probability,"(0.5, 0.6]",21770,0.5481396417087735,0.5504697380451418,0.5318389105530854,0.6870176808660279,0.0023300963363682703,True,low_auc+high_logloss+mixed_classes,0.9607109350145292,0.5401793046314697,0.5231781942418312,0.5255530137469702,0.5205710024714333,0.5161372856399502,EXP-022,0.5401793046314697,0.008340394078384272
oof_fixed_probability,"(0.4, 0.5]",21012,0.44660194174757284,0.44965624080518074,0.5327901061787242,0.6858609081939063,0.003054299057607901,True,low_auc+high_logloss+mixed_classes,0.9540687528943548,0.5372618412914589,0.5200554446289067,0.5287575595814671,0.5240732364422415,0.520302761384388,EXP-022,0.5372618412914589,0.004471735112734687
oof_fixed_probability,"(0.6, 0.7]",24278,0.6436691654996293,0.6517897496575804,0.5394007835405346,0.6492935412183001,0.008120584157951138,True,low_auc+high_logloss,0.8693550519097086,0.5361470245506414,0.5263900822474865,0.5211968410755248,0.5264832701807187,0.5201327285245623,EXP-016,0.5394007835405346,0.0
oof_fixed_probability,"(0.3, 0.4]",22074,0.3357796502672828,0.34943357475498205,0.541609101927123,0.6363250200763264,0.013653924487699254,True,low_auc+high_logloss,0.8597115527108947,0.5439624684094034,0.5291973726664587,0.5331514468531897,0.5345735712062041,0.5279599278375112,EXP-022,0.5439624684094034,0.002353366482280461
oof_quantile,q20-30,69137,0.3826315865600185,0.39108579957661244,0.6172713529492896,0.645811036566583,0.008454213016593937,True,low_auc+high_logloss,0.7883356067078793,0.6082836311310084,0.5983568028428304,0.5940395579352321,0.5922221374907759,0.597116323486685,EXP-016,0.6172713529492896,0.0
oof_fixed_probability,"(0.2, 0.3]",25011,0.23661588900883612,0.24842370417811946,0.5420275752414938,0.5456106842150904,0.011807815169283337,True,low_auc+high_logloss,0.7667326342168719,0.5544350010736122,0.5356902670263394,0.5396020619940245,0.533277723680715,0.5259105495031018,EXP-022,0.5544350010736122,0.012407425832118402
oof_fixed_probability,"(0.7, 0.8]",28507,0.7573929210369383,0.7519169078570914,0.5486070343878422,0.5515554238436648,0.005476013179846917,True,low_auc+high_logloss,0.7597661127096615,0.5445122663865123,0.5328842260952131,0.5310118733200719,0.5322076541060328,0.530092007174015,EXP-016,0.5486070343878422,0.0
oof_quantile,q30-40,69137,0.6944761849660819,0.6945828223474332,0.6120329379265991,0.5993788744014044,0.0001066373813513044,True,low_auc+high_logloss,0.7387942839301486,0.5989584031852062,0.5914575088002243,0.5828397160613696,0.5833942054659723,0.5880991061837424,EXP-016,0.6120329379265991,0.0
oof_fixed_probability,"(0.1, 0.2]",32998,0.1387962906842839,0.14639024531350323,0.5664541294173292,0.3998143924047711,0.007593954629219329,True,low_auc+high_logloss,0.5922959276906532,0.5686185811256228,0.5539303461334089,0.5603807830143943,0.5554409284846525,0.551326647020263,EXP-022,0.5686185811256228,0.002164451708293602
oof_fixed_probability,"(0.8, 0.9]",40211,0.8623262291412798,0.8538459685968157,0.5680802590945652,0.39769179520869863,0.008480260544464047,True,low_auc+high_logloss,0.5894335067325895,0.5520378327241812,0.5454529414338761,0.5392755500081267,0.541057898279232,0.5445522445207563,EXP-016,0.5680802590945652,0.0
region_prediction_tertile,clear_negative_zone & prediction_tertile=middle,51544,0.20431088002483316,0.21000584663248525,0.7054107667022709,0.46337366201304436,0.005694966607652091,True,low_auc+high_logloss,0.5149995719924176,0.7002982114916291,0.6934715547448549,0.6926822637927049,0.6918273199552916,0.6949862051956942,EXP-016,0.7054107667022709,0.0
region_prediction_tertile,ambiguous_zone & prediction_tertile=middle,34067,0.7779375935656206,0.7772561465181848,0.7165157820460045,0.47875702319583785,0.0006814470474358902,True,low_auc+high_logloss,0.5142643982712612,0.7040568687454682,0.7002853642391802,0.6793743484323697,0.6806189139948435,0.6857044696473293,EXP-016,0.7165157820460045,0.0
region_prediction_tertile,clear_negative_zone & prediction_tertile=high,51545,0.7534969444174993,0.7481345652759174,0.743156932459522,0.4865565826550707,0.0053623791415818856,True,low_auc+high_logloss,0.5001037394111226,0.7351232217781262,0.732619134214427,0.7280475246249691,0.729432900839354,0.7353299916102982,EXP-016,0.743156932459522,0.0
oof_quantile,q10-20,69137,0.12352286040759651,0.12936510246893695,0.6362108901674244,0.361743129910729,0.005842242061340444,True,low_auc+high_logloss,0.482716191878637,0.6327663344569311,0.6234322569280313,0.6196968945100852,0.6200539951448737,0.6176983191715498,EXP-016,0.6362108901674244,0.0
oof_quantile,q40-50,69137,0.9011383195683932,0.8948629083533003,0.6188905613187405,0.31510672067493756,0.0062754112150928965,True,low_auc+high_logloss,0.45383328064528194,0.6021473640783688,0.5975079782817805,0.5852752868563835,0.5891371164507536,0.5941787128073822,EXP-016,0.6188905613187405,0.0
screen_social_grid,4<screen<=5 & 2<social<=3,9612,0.6380565959217644,0.640596026216455,0.8118924115141105,0.5025172334788405,0.0025394302946905034,True,low_auc+high_logloss,0.44450596233341244,0.8080072524780886,0.8059464846192058,0.8026412416873888,0.8037022301520098,0.806913691039578,EXP-016,0.8118924115141105,0.0
screen_social_grid,screen<=4 & 1<social<=2,22204,0.4393802918393082,0.4386608019864356,0.8521273055155038,0.47142385458180497,0.0007194898528726235,True,low_auc+high_logloss+mixed_classes,0.4107380408324741,0.8487708210147654,0.8483623073296929,0.8465782559094871,0.8465593828094449,0.8482841964104088,EXP-016,0.8521273055155038,0.0
region_prediction_tertile,ambiguous_zone & prediction_tertile=low,34068,0.18929787483855817,0.1968076325276449,0.7736588517668965,0.4089015317883039,0.007509757689086738,True,low_auc+high_logloss,0.3940941477844861,0.7694872194628086,0.7675161999753968,0.7515192648279443,0.7525846331209594,0.7532528926505325,EXP-016,0.7736588517668965,0.0
