ratio,decimals,auc,delta_vs_B,std,cardinality,mean_columns,mean_csr_mb
work_over_screen,2,0.9613787956288256,0.0014439411573526906,0.0003688904268148178,93,224569.8,69.62639846801758
work_over_screen,3,0.9611803982351118,0.0012455437636389455,0.0003828919143898341,867,225338.4,69.62639846801758
social_over_screen,2,0.9611559069779886,0.0012210525065157185,0.00046304445959458485,91,224567.6,69.62639846801758
work_over_screen,1,0.9611016224035693,0.0011667679320964686,0.0003792396213643969,11,224488.2,69.62639846801758
social_over_screen,3,0.9609517787066706,0.0010169242351977248,0.000464482789352516,846,225318.6,69.62639846801758
social_over_screen,1,0.9608750184073813,0.0009401639359084557,0.000445230662503507,11,224488.2,69.62639846801758
