distance_decile,rows,distance_mean,target_rate,auc_exp016,auc_prior_c,logloss_exp016,nearest_original_label_agreement
"(0.268, 0.867]",69137,0.771883509839053,0.7439431852698266,0.9568369904129292,0.8209510483528307,0.2292264105607102,0.7496275510942043
"(0.867, 0.954]",69137,0.9144757010481476,0.742626958068762,0.9586534726367449,0.822339008074741,0.2251336911535252,0.7530844555013958
"(0.954, 1.015]",69137,0.9859775501285352,0.7374632975107396,0.9605747876491315,0.8281101785456761,0.22176890214305803,0.7574670581598855
"(1.015, 1.067]",69137,1.041787997086365,0.7339485369628419,0.9618545263100879,0.8272995921682412,0.21921644772183232,0.7569897449990598
"(1.067, 1.116]",69137,1.0917730696778467,0.7287559483344663,0.9635915890802661,0.8303860733399413,0.2157909402858372,0.762225725732965
"(1.116, 1.167]",69136,1.1413323390040868,0.720232585049757,0.9657407441209743,0.8335381831048998,0.2116003005793156,0.7666194168016662
"(1.167, 1.224]",69137,1.194569242229852,0.7063511578460159,0.9657012282346539,0.832264604916261,0.2151559141273487,0.7669120731301619
"(1.224, 1.296]",69137,1.2578470019953174,0.6945774332123176,0.9698652639258796,0.8352620748943902,0.20426047679302603,0.7783531249547999
"(1.296, 1.409]",69137,1.3466894590696927,0.6684843137538511,0.9717127103680145,0.8307756907706914,0.20216537761424105,0.7923832390760375
"(1.409, 2.655]",69137,1.5587940405113812,0.6178601906359836,0.9738017861050097,0.796569336043776,0.1992817019327789,0.8103909628708217
