ratio,auc,delta_vs_B,std,folds,cardinality
work_over_screen,0.9613787956288256,0.0014439411573526906,0.0003688904268148178,"[0.9610557300653713, 0.9612427805215882, 0.9615248796652057, 0.9620284716997, 0.9610409939467304]",93
social_over_screen,0.9611559069779886,0.0012210525065157185,0.00046304445959458485,"[0.9606937298014546, 0.9612061916191774, 0.9613263864553745, 0.9619081644657234, 0.9606450645462195]",91
gaming_over_screen,0.9610095382317112,0.0010746837602383374,0.00040880018065501093,"[0.9605959008547613, 0.9610073127555656, 0.961195662509815, 0.9616749535354748, 0.9605770231083559]",81
weekend_over_screen,0.9599145310745902,-2.0323396882626632e-05,0.00041294205525183454,"[0.9596141326384959, 0.9598268851431361, 0.9600976562143949, 0.9606099855904907, 0.959427196565498]",908
