label,auc,mean_auc,std,folds,best_iterations,seconds,peak_rss_gb,completed_folds,stage,num_leaves,min_child_samples
leaves_15,0.9663824448767486,0.9663833969454231,0.00038020599633411926,"[0.9658523914392823, 0.9665756892907044, 0.9667221101062828]","[9975, 9993, 8930]",552.8637647000141,0.68438720703125,3.0,num_leaves,15,20
,0.9662783076152575,0.966279346963472,0.0003830006289971659,"[0.9657740296357499, 0.9663631121063025, 0.9667008991483638]",,,,,num_leaves,31,20
leaves_63,0.9661486315879967,0.9661473769164215,0.00044417134481071014,"[0.9655676074349387, 0.9662278988462762, 0.9666466244680495]","[3173, 3648, 3677]",365.3027730998583,0.6919898986816406,3.0,num_leaves,63,20
child_50,0.966473653461737,0.9664737152001712,0.0004072962864919922,"[0.9659041563253892, 0.9666840808377466, 0.9668329084373779]","[9866, 9966, 9999]",569.9854814996943,0.7022590637207031,3.0,min_child_samples,15,50
child_100,0.9665125108146406,0.9665133859498969,0.0003645178257549706,"[0.9660149308068423, 0.966648742011767, 0.9668764850310811]","[9888, 9861, 9026]",557.9272237000987,0.708160400390625,3.0,min_child_samples,15,100
