fold,auc,seconds,observed_rss_gb
1,0.9315153177729874,438.6045802999288,1.2696380615234375
2,0.931766723188922,445.969842400169,1.2681121826171875
3,0.9327384040216351,426.21195749985054,1.269378662109375
4,0.932873257760999,418.09557339991443,1.2664947509765625
5,0.9321123529172719,384.15568590001203,1.1855964660644531
