label,oof,delta,folds_improved,fold_aucs,std,best_iterations,seconds,peak_rss_gb,fold_deltas,raw_features,rel_features,status
BASE,0.9665124589712709,0.0,0,"[0.966014868138103, 0.9666486808653453, 0.9668764530624125]",0.000352,,,,,,,reference
DUAL-A,0.9661951351191082,-0.00031732385216276526,0,"[0.9656131572059115, 0.9663265876486682, 0.9666433387993287]",0.0004308374794787747,"[8449, 9427, 9049]",618.7218282998074,0.706512451171875,"[-0.00040171093219154574, -0.00032209321667708846, -0.00023311426308381122]",age_cat,,screened
DUAL-B,,,,,,,,,,,"",skipped_no_promising_relational_categories
DUAL-C,0.9661951351191082,-0.00031732385216276526,0,"[0.9656131572059115, 0.9663265876486682, 0.9666433387993287]",0.0004308374794787747,"[8449, 9427, 9049]",621.2680721001234,0.7105026245117188,"[-0.00040171093219154574, -0.00032209321667708846, -0.00023311426308381122]",age_cat,,equivalent_to_dual_a_no_relational_candidates
