encoding,feature,granularity,smoothing,auc,orientation,fold_std,coverage,unseen_rate
TE,social_media_hours,round_0.25,1.0,0.8179989124324035,1,0.0011859038697890577,1.0,0.0
TE,social_media_hours,round_0.25,5.0,0.8179953428238835,1,0.00118607411450916,1.0,0.0
TE,social_media_hours,round_0.25,10.0,0.8179913791271404,1,0.0011865135330246925,1.0,0.0
TE,social_media_hours,round_0.25,20.0,0.8179828245578409,1,0.0011864873326183827,1.0,0.0
TE,social_media_hours,round_0.25,50.0,0.8179593919935445,1,0.001187698983888771,1.0,0.0
TE,social_media_hours,round_0.25,100.0,0.817909562297703,1,0.0011902475740985616,1.0,0.0
TE,social_media_hours,round_0.25,200.0,0.8178238381075356,1,0.001188160256672686,1.0,0.0
count,social_media_hours,round_0.5,,0.5625743009103449,-1,0.0017146756350527798,1.0,0.0
TE,social_media_hours,round_0.5,1.0,0.8150362340738281,1,0.001161791194048041,1.0,0.0
TE,social_media_hours,round_0.5,5.0,0.81503489552772,1,0.0011613623010088652,1.0,0.0
TE,social_media_hours,round_0.5,10.0,0.815031307560013,1,0.0011628234042704417,1.0,0.0
TE,social_media_hours,round_0.5,20.0,0.8150294722603767,1,0.0011624530631911545,1.0,0.0
TE,social_media_hours,round_0.5,50.0,0.8150144442660512,1,0.0011635153503531505,1.0,0.0
TE,social_media_hours,round_0.5,100.0,0.8149877527785836,1,0.0011659281022135552,1.0,0.0
TE,social_media_hours,round_0.5,200.0,0.8149484877039405,1,0.0011650983455562252,1.0,0.0
count,social_media_hours,round_1.0,,0.5984947293386551,-1,0.0022193759152830217,1.0,0.0
TE,social_media_hours,round_1.0,1.0,0.8017051442291028,1,0.0012953389981530284,1.0,0.0
TE,social_media_hours,round_1.0,5.0,0.8017047711083095,1,0.0012952800562988668,1.0,0.0
TE,social_media_hours,round_1.0,10.0,0.8017020991209421,1,0.0012956224021171334,1.0,0.0
TE,social_media_hours,round_1.0,20.0,0.8017020991209421,1,0.0012956224021171334,1.0,0.0
TE,social_media_hours,round_1.0,50.0,0.8016919276644255,1,0.0012957769571560083,1.0,0.0
TE,social_media_hours,round_1.0,100.0,0.8016919276644255,1,0.0012957769571560083,1.0,0.0
TE,social_media_hours,round_1.0,200.0,0.8016919276644255,1,0.0012957769571560083,1.0,0.0
count,weekend_screen_time,exact,,0.5395190815020503,1,0.0016589870932269522,0.9999349117475618,6.508825243827826e-05
TE,weekend_screen_time,exact,1.0,0.8654470206220578,1,0.0008634126681247748,0.9999349117475618,6.508825243827826e-05
TE,weekend_screen_time,exact,5.0,0.8652615125854192,1,0.0008865578405246057,0.9999349117475618,6.508825243827826e-05
TE,weekend_screen_time,exact,10.0,0.8649892988880388,1,0.0008873041623837479,0.9999349117475618,6.508825243827826e-05
TE,weekend_screen_time,exact,20.0,0.8644449991753858,1,0.0009019994141672737,0.9999349117475618,6.508825243827826e-05
TE,weekend_screen_time,exact,50.0,0.8629335852245472,1,0.000943830708371414,0.9999349117475618,6.508825243827826e-05
TE,weekend_screen_time,exact,100.0,0.8608891389159163,1,0.0009866111973650766,0.9999349117475618,6.508825243827826e-05
TE,weekend_screen_time,exact,200.0,0.8579174628861672,1,0.0010455865155784057,0.9999349117475618,6.508825243827826e-05
count,weekend_screen_time,round_0.1,,0.5580584151495767,1,0.0015157349460401613,0.9999971071887805,2.8928112194790338e-06
TE,weekend_screen_time,round_0.1,1.0,0.8556256479347486,1,0.0007524383556365788,0.9999971071887805,2.8928112194790338e-06
TE,weekend_screen_time,round_0.1,5.0,0.8556092856466643,1,0.0007538627969567399,0.9999971071887805,2.8928112194790338e-06
TE,weekend_screen_time,round_0.1,10.0,0.8555817490885531,1,0.0007537814827564873,0.9999971071887805,2.8928112194790338e-06
TE,weekend_screen_time,round_0.1,20.0,0.8555206015171029,1,0.0007539801828710998,0.9999971071887805,2.8928112194790338e-06
TE,weekend_screen_time,round_0.1,50.0,0.8553706243329801,1,0.0007498779491234653,0.9999971071887805,2.8928112194790338e-06
TE,weekend_screen_time,round_0.1,100.0,0.8550443184520651,1,0.0007368570848859465,0.9999971071887805,2.8928112194790338e-06
TE,weekend_screen_time,round_0.1,200.0,0.8544950914948831,1,0.0007255541524389077,0.9999971071887805,2.8928112194790338e-06
count,weekend_screen_time,round_0.25,,0.5798943623546207,1,0.0012180780059786156,1.0,0.0
TE,weekend_screen_time,round_0.25,1.0,0.8544464298756822,1,0.0007913853990891137,1.0,0.0
TE,weekend_screen_time,round_0.25,5.0,0.8544384753950371,1,0.0007922192972740183,1.0,0.0
TE,weekend_screen_time,round_0.25,10.0,0.8544265775761506,1,0.0007933839954434986,1.0,0.0
TE,weekend_screen_time,round_0.25,20.0,0.8544103767149485,1,0.0007898321366151374,1.0,0.0
TE,weekend_screen_time,round_0.25,50.0,0.8543357571841588,1,0.0007906966986598731,1.0,0.0
TE,weekend_screen_time,round_0.25,100.0,0.8542212025039164,1,0.0007759878884297226,1.0,0.0
TE,weekend_screen_time,round_0.25,200.0,0.8539340076184964,1,0.0007745124270643555,1.0,0.0
count,weekend_screen_time,round_0.5,,0.6068086525279546,1,0.0025944627495770207,1.0,0.0
TE,weekend_screen_time,round_0.5,1.0,0.8519187275528357,1,0.000850271152619606,1.0,0.0
TE,weekend_screen_time,round_0.5,5.0,0.851917347183505,1,0.0008463271592085316,1.0,0.0
TE,weekend_screen_time,round_0.5,10.0,0.8519140231354558,1,0.0008439413609757136,1.0,0.0
TE,weekend_screen_time,round_0.5,20.0,0.8519054120373158,1,0.0008463805891599743,1.0,0.0
TE,weekend_screen_time,round_0.5,50.0,0.8518818635838222,1,0.0008534689889712181,1.0,0.0
TE,weekend_screen_time,round_0.5,100.0,0.8518153402718794,1,0.0008497500707562657,1.0,0.0
TE,weekend_screen_time,round_0.5,200.0,0.8517223642636873,1,0.0008486582513075452,1.0,0.0
count,weekend_screen_time,round_1.0,,0.614779653183696,1,0.002307221403018234,1.0,0.0
TE,weekend_screen_time,round_1.0,1.0,0.8477978025890542,1,0.0009439928849680842,1.0,0.0
TE,weekend_screen_time,round_1.0,5.0,0.8477945880871998,1,0.0009447660892320303,1.0,0.0
TE,weekend_screen_time,round_1.0,10.0,0.8477905074965277,1,0.0009461707906563737,1.0,0.0
TE,weekend_screen_time,round_1.0,20.0,0.8477850664180328,1,0.000945301072442985,1.0,0.0
TE,weekend_screen_time,round_1.0,50.0,0.8477674020383457,1,0.0009456856351127785,1.0,0.0
TE,weekend_screen_time,round_1.0,100.0,0.8477246896279779,1,0.0009400430309861044,1.0,0.0
TE,weekend_screen_time,round_1.0,200.0,0.8476802900194763,1,0.0009342367919455482,1.0,0.0
count,work_study_hours,exact,,0.5517503247069114,-1,0.0012623927911970068,1.0,0.0
TE,work_study_hours,exact,1.0,0.6675514981945496,1,0.001587187283192039,1.0,0.0
TE,work_study_hours,exact,5.0,0.6675331969469409,1,0.0015897476619440287,1.0,0.0
TE,work_study_hours,exact,10.0,0.6675037681949961,1,0.0015899133725297892,1.0,0.0
TE,work_study_hours,exact,20.0,0.6674316384094932,1,0.0015911773144026244,1.0,0.0
TE,work_study_hours,exact,50.0,0.6671691688024768,1,0.0016047508735361077,1.0,0.0
TE,work_study_hours,exact,100.0,0.6666830097532133,1,0.001614328578581157,1.0,0.0
TE,work_study_hours,exact,200.0,0.6656781919455761,1,0.0016292946864025013,1.0,0.0
count,work_study_hours,round_0.1,,0.596099552686342,-1,0.0013335834103576616,1.0,0.0
TE,work_study_hours,round_0.1,1.0,0.6510685370303003,1,0.001475353002604587,1.0,0.0
TE,work_study_hours,round_0.1,5.0,0.651069082366155,1,0.0014763867106509373,1.0,0.0
TE,work_study_hours,round_0.1,10.0,0.6510691208199748,1,0.0014764577359537394,1.0,0.0
TE,work_study_hours,round_0.1,20.0,0.6510681138657526,1,0.001468988401309086,1.0,0.0
TE,work_study_hours,round_0.1,50.0,0.6510672677396334,1,0.001469033910401011,1.0,0.0
TE,work_study_hours,round_0.1,100.0,0.6510618511299058,1,0.0014708679973917333,1.0,0.0
TE,work_study_hours,round_0.1,200.0,0.6509893445497424,1,0.0014831942790772827,1.0,0.0
count,work_study_hours,round_0.25,,0.6012683593364472,-1,0.0012539110175663344,1.0,0.0
TE,work_study_hours,round_0.25,1.0,0.6489086120689036,1,0.001501995646653713,1.0,0.0
TE,work_study_hours,round_0.25,5.0,0.6489086823595227,1,0.001501995646653713,1.0,0.0
TE,work_study_hours,round_0.25,10.0,0.6489086738345271,1,0.001501995646653713,1.0,0.0
TE,work_study_hours,round_0.25,20.0,0.6489087179006356,1,0.001501750900823705,1.0,0.0
TE,work_study_hours,round_0.25,50.0,0.6489053594988837,1,0.0015062387484998019,1.0,0.0
TE,work_study_hours,round_0.25,100.0,0.6489056334354117,1,0.0015053200200542663,1.0,0.0
TE,work_study_hours,round_0.25,200.0,0.6488979450665665,1,0.0014991979192632574,1.0,0.0
count,work_study_hours,round_0.5,,0.6070805311524095,-1,0.001798184890144864,1.0,0.0
TE,work_study_hours,round_0.5,1.0,0.6475663306173549,1,0.001479094897213101,1.0,0.0
TE,work_study_hours,round_0.5,5.0,0.6475663306173549,1,0.001479094897213101,1.0,0.0
TE,work_study_hours,round_0.5,10.0,0.6475663306173549,1,0.001479094897213101,1.0,0.0
TE,work_study_hours,round_0.5,20.0,0.6475663306173549,1,0.001479094897213101,1.0,0.0
TE,work_study_hours,round_0.5,50.0,0.6475663306173549,1,0.001479094897213101,1.0,0.0
TE,work_study_hours,round_0.5,100.0,0.647566329429945,1,0.001479094897213101,1.0,0.0
TE,work_study_hours,round_0.5,200.0,0.6475642307586862,1,0.001479094897213101,1.0,0.0
count,work_study_hours,round_1.0,,0.600951807283674,-1,0.001525592946750795,1.0,0.0
TE,work_study_hours,round_1.0,1.0,0.6444920545291082,1,0.0013403498284893396,1.0,0.0
TE,work_study_hours,round_1.0,5.0,0.6444920545291082,1,0.0013403498284893396,1.0,0.0
TE,work_study_hours,round_1.0,10.0,0.6444920545291082,1,0.0013403498284893396,1.0,0.0
TE,work_study_hours,round_1.0,20.0,0.6444920545291082,1,0.0013403498284893396,1.0,0.0
TE,work_study_hours,round_1.0,50.0,0.6444920545291082,1,0.0013403498284893396,1.0,0.0
TE,work_study_hours,round_1.0,100.0,0.6444920545291082,1,0.0013403498284893396,1.0,0.0
TE,work_study_hours,round_1.0,200.0,0.6444920545291082,1,0.0013403498284893396,1.0,0.0
count,gaming_hours,exact,,0.544541436266873,-1,0.0018308425565613734,1.0,0.0
TE,gaming_hours,exact,1.0,0.6325100351481787,1,0.0022235592489112045,1.0,0.0
TE,gaming_hours,exact,5.0,0.6325079668319937,1,0.0022206610328052573,1.0,0.0
TE,gaming_hours,exact,10.0,0.6325042913714439,1,0.0022200650994855164,1.0,0.0
TE,gaming_hours,exact,20.0,0.6324880510516906,1,0.0022212403140915277,1.0,0.0
