label,fold,max_bin,feature_cfg,num_leaves,min_child_samples,auc,best_iteration,seconds,rss_gb
maxbin_255,1,255,"((), False, ())",31,20,0.9629327483706347,5482,118.60101910005324,0.5103416442871094
maxbin_255,2,255,"((), False, ())",31,20,0.9636713743106484,5481,114.09595070010982,0.510589599609375
maxbin_255,3,255,"((), False, ())",31,20,0.9640963741642206,6293,129.8215858999174,0.515045166015625
maxbin_511,1,511,"((), False, ())",31,20,0.9640634365404629,6216,136.6201264001429,0.5236434936523438
maxbin_511,2,511,"((), False, ())",31,20,0.964951283599196,6165,139.29577780002728,0.5230369567871094
maxbin_511,3,511,"((), False, ())",31,20,0.9652961463732482,6787,159.59171990002505,0.5266838073730469
maxbin_1023,1,1023,"((), False, ())",31,20,0.9650483825946223,8964,206.90963619994,0.5366401672363281
maxbin_1023,2,1023,"((), False, ())",31,20,0.9658448936447495,7877,179.94702930003405,0.5337562561035156
maxbin_1023,3,1023,"((), False, ())",31,20,0.9661803111995377,6324,143.76849899999797,0.5300407409667969
maxbin_2047,1,2047,"((), False, ())",31,20,0.9652603924620158,7999,187.19176000007428,0.5396614074707031
maxbin_2047,2,2047,"((), False, ())",31,20,0.966131442776297,7686,180.98910510004498,0.5398445129394531
maxbin_2047,3,2047,"((), False, ())",31,20,0.9663616123697922,6720,152.39448409993201,0.5360488891601562
maxbin_4095,1,4095,"((), False, ())",31,20,0.9652603924620158,7999,186.3654213999398,0.5461959838867188
maxbin_4095,2,4095,"((), False, ())",31,20,0.9661314699242932,7686,174.95370190008543,0.5465812683105469
maxbin_4095,3,4095,"((), False, ())",31,20,0.9663616123697922,6720,153.3212051000446,0.5422859191894531
raw_full,1,4095,"((), False, ())",31,20,0.9652604188488534,7999,228.17378469998948,0.5783195495605469
raw_full,2,4095,"((), False, ())",31,20,0.9661314699242932,7686,208.85961659997702,0.5789070129394531
raw_full,3,4095,"((), False, ())",31,20,0.9663616123697922,6720,165.79367649997585,0.5816078186035156
raw_full,4,4095,"((), False, ())",31,20,0.9666577767127306,7204,179.53884980012663,0.5821685791015625
raw_full,5,4095,"((), False, ())",31,20,0.9659373136437553,7973,202.77669170009904,0.587738037109375
freq_screen_freq,1,4095,"(('screen_freq',), False, ())",31,20,0.9652303051241586,5840,124.44712189980783,0.5718498229980469
freq_screen_freq,2,4095,"(('screen_freq',), False, ())",31,20,0.9661358488707374,6726,142.52624560007825,0.5746498107910156
freq_screen_freq,3,4095,"(('screen_freq',), False, ())",31,20,0.966517279742194,7266,153.82475199992768,0.5734062194824219
freq_social_freq,1,4095,"(('social_freq',), False, ())",31,20,0.9651995210723008,6142,140.58685960015282,0.5786666870117188
freq_social_freq,2,4095,"(('social_freq',), False, ())",31,20,0.9659873023924141,7205,152.1882706999313,0.5799636840820312
freq_social_freq,3,4095,"(('social_freq',), False, ())",31,20,0.9662724185157043,6321,136.23858250002377,0.5784339904785156
freq_weekend_freq,1,4095,"(('weekend_freq',), False, ())",31,20,0.9654169975820308,7320,154.21952389995568,0.5867996215820312
freq_weekend_freq,2,4095,"(('weekend_freq',), False, ())",31,20,0.9661449609561764,6356,136.2520004999824,0.5823860168457031
freq_weekend_freq,3,4095,"(('weekend_freq',), False, ())",31,20,0.9664730652974355,7635,169.32303749979474,0.588592529296875
freq_work_freq,1,4095,"(('work_freq',), False, ())",31,20,0.9653199327118897,7634,161.8686923000496,0.5932960510253906
freq_work_freq,2,4095,"(('work_freq',), False, ())",31,20,0.9659263051577816,7610,160.0509625999257,0.5934982299804688
freq_work_freq,3,4095,"(('work_freq',), False, ())",31,20,0.9663452423816947,7520,159.10328790009953,0.59478759765625
freq_gaming_freq,1,4095,"(('gaming_freq',), False, ())",31,20,0.9652318849092003,7232,152.03197070001625,0.5953941345214844
freq_gaming_freq,2,4095,"(('gaming_freq',), False, ())",31,20,0.9659426977269228,8098,170.86390209989622,0.5998954772949219
freq_gaming_freq,3,4095,"(('gaming_freq',), False, ())",31,20,0.9662535141225989,6690,149.58022759994492,0.5972328186035156
freq_set_2,1,4095,"(('weekend_freq', 'screen_freq'), False, ())",31,20,0.9654237734174635,6221,139.72918689996004,0.6067085266113281
freq_set_2,2,4095,"(('weekend_freq', 'screen_freq'), False, ())",31,20,0.9662835413289128,8041,177.46770510007627,0.6113739013671875
freq_set_2,3,4095,"(('weekend_freq', 'screen_freq'), False, ())",31,20,0.9666667226118367,6193,136.8751532000024,0.6089630126953125
freq_set_3,1,4095,"(('weekend_freq', 'screen_freq', 'work_freq'), False, ())",31,20,0.9654309440405822,7178,159.125808800105,0.6190032958984375
freq_set_3,2,4095,"(('weekend_freq', 'screen_freq', 'work_freq'), False, ())",31,20,0.9661677173201328,7135,147.18454549997114,0.6204299926757812
freq_set_3,3,4095,"(('weekend_freq', 'screen_freq', 'work_freq'), False, ())",31,20,0.9665948504480373,7540,147.1863893000409,0.6212234497070312
freq_set_5,1,4095,"(('weekend_freq', 'screen_freq', 'work_freq', 'social_freq', 'gaming_freq'), False, ())",31,20,0.9654809032043505,5656,123.07962860004045,0.6325187683105469
freq_set_5,2,4095,"(('weekend_freq', 'screen_freq', 'work_freq', 'social_freq', 'gaming_freq'), False, ())",31,20,0.9662571669235698,6657,141.01931289979257,0.6363487243652344
freq_set_5,3,4095,"(('weekend_freq', 'screen_freq', 'work_freq', 'social_freq', 'gaming_freq'), False, ())",31,20,0.9665211312056057,6420,135.39882769994438,0.6362266540527344
family_relations,1,4095,"((), True, ())",31,20,0.9654732024341437,5472,142.38666189997457,0.6534271240234375
family_relations,2,4095,"((), True, ())",31,20,0.9660225508942187,6644,164.85556429997087,0.6566696166992188
family_relations,3,4095,"((), True, ())",31,20,0.9663914114821925,6493,158.8581171000842,0.6533050537109375
family_frequency_relations,1,4095,"(('weekend_freq', 'screen_freq'), True, ())",31,20,0.9657740296357499,6167,148.74579360010102,0.6659469604492188
family_frequency_relations,2,4095,"(('weekend_freq', 'screen_freq'), True, ())",31,20,0.9663631121063025,6311,151.17465279996395,0.6693458557128906
family_frequency_relations,3,4095,"(('weekend_freq', 'screen_freq'), True, ())",31,20,0.9667008991483638,5648,138.0763437000569,0.6648101806640625
codes_1,1,4095,"((), False, ('screen_value_code',))",31,20,0.9652554905994917,7031,126.04006110015325,0.6375732421875
codes_1,2,4095,"((), False, ('screen_value_code',))",31,20,0.9659851566858217,7241,129.5414636998903,0.6382675170898438
codes_1,3,4095,"((), False, ('screen_value_code',))",31,20,0.966320892404979,6579,131.19739149999805,0.6387138366699219
codes_1,1,4095,"((), False, ('social_value_code',))",31,20,0.9652588173707866,6180,110.4393195998855,0.6422271728515625
codes_1,2,4095,"((), False, ('social_value_code',))",31,20,0.9660108889268767,7459,131.363392499974,0.644256591796875
codes_1,3,4095,"((), False, ('social_value_code',))",31,20,0.9662289040833011,6345,112.84061239985749,0.6424942016601562
codes_1,1,4095,"((), False, ('weekend_value_code',))",31,20,0.9652256704283653,7330,130.8214102999773,0.6442222595214844
codes_1,2,4095,"((), False, ('weekend_value_code',))",31,20,0.9660469290338092,7858,138.5130529999733,0.6451301574707031
codes_1,3,4095,"((), False, ('weekend_value_code',))",31,20,0.9662084593585507,7249,129.09135219990276,0.6454887390136719
codes_3,1,4095,"((), False, ('screen_value_code', 'social_value_code', 'weekend_value_code'))",31,20,0.9652018332189458,7828,146.98900939989835,0.6542129516601562
codes_3,2,4095,"((), False, ('screen_value_code', 'social_value_code', 'weekend_value_code'))",31,20,0.9660141471938815,7871,148.98861590004526,0.6510734558105469
codes_3,3,4095,"((), False, ('screen_value_code', 'social_value_code', 'weekend_value_code'))",31,20,0.9662569819619871,6894,135.8713062000461,0.6517143249511719
leaves_15,1,4095,"(('weekend_freq', 'screen_freq'), True, ())",15,20,0.9658523914392823,9975,189.82536559994332,0.6827583312988281
leaves_15,2,4095,"(('weekend_freq', 'screen_freq'), True, ())",15,20,0.9665756892907044,9993,188.566165599972,0.68438720703125
leaves_15,3,4095,"(('weekend_freq', 'screen_freq'), True, ())",15,20,0.9667221101062828,8930,174.4722335000988,0.67279052734375
leaves_63,1,4095,"(('weekend_freq', 'screen_freq'), True, ())",63,20,0.9655676074349387,3173,109.59038259997033,0.6886329650878906
leaves_63,2,4095,"(('weekend_freq', 'screen_freq'), True, ())",63,20,0.9662278988462762,3648,121.73798019997776,0.6919898986816406
leaves_63,3,4095,"(('weekend_freq', 'screen_freq'), True, ())",63,20,0.9666466244680495,3677,133.97441029991023,0.6902122497558594
child_50,1,4095,"(('weekend_freq', 'screen_freq'), True, ())",15,50,0.9659041563253892,9866,189.91501170000993,0.6988334655761719
child_50,2,4095,"(('weekend_freq', 'screen_freq'), True, ())",15,50,0.9666840808377466,9966,189.4149381997995,0.7022590637207031
child_50,3,4095,"(('weekend_freq', 'screen_freq'), True, ())",15,50,0.9668329084373779,9999,190.65553159988485,0.7004966735839844
child_100,1,4095,"(('weekend_freq', 'screen_freq'), True, ())",15,100,0.9660149308068423,9888,190.60597350005992,0.7049560546875
child_100,2,4095,"(('weekend_freq', 'screen_freq'), True, ())",15,100,0.966648742011767,9861,189.9966168999672,0.708160400390625
child_100,3,4095,"(('weekend_freq', 'screen_freq'), True, ())",15,100,0.9668764850310811,9026,177.32463330007158,0.7048912048339844
FINAL,1,4095,"(('weekend_freq', 'screen_freq'), True, ())",15,100,0.9660149308068423,9888,221.47501749987714,0.757843017578125
FINAL,2,4095,"(('weekend_freq', 'screen_freq'), True, ())",15,100,0.966648742011767,9861,218.1170342999976,0.7587127685546875
FINAL,3,4095,"(('weekend_freq', 'screen_freq'), True, ())",15,100,0.9668764850310811,9026,200.02653139992617,0.7591819763183594
FINAL,4,4095,"(('weekend_freq', 'screen_freq'), True, ())",15,100,0.9673175171719735,9567,212.27072799997404,0.7675895690917969
FINAL,5,4095,"(('weekend_freq', 'screen_freq'), True, ())",15,100,0.9665685853347405,9995,220.30873619997874,0.7680473327636719
