feature_a,feature_b,granularity,smoothing,auc,coverage,unseen,pearson_exp027,pearson_residual,spearman_residual
daily_screen_time_hours,social_media_hours,round_0.5,10,0.911167188033735,0.9999768575102441,2.314248975583227e-05,0.8465951644500326,-0.00394171131713458,0.13131909542904924
daily_screen_time_hours,social_media_hours,round_0.5,50,0.9106042783772904,0.9999768575102441,2.314248975583227e-05,0.8457147766915225,-0.003927177531299449,0.14829807041038093
daily_screen_time_hours,social_media_hours,round_0.5,100,0.9099519648786725,0.9999768575102441,2.314248975583227e-05,0.8444108841081439,-0.003908519480599423,0.15946806554311255
social_media_hours,weekend_screen_time,round_0.5,10,0.9069873013987357,0.9999638398597566,3.616014024348792e-05,0.8350046745970314,-0.003452686200533765,0.13683498310494036
social_media_hours,weekend_screen_time,round_0.5,50,0.9061732158668779,0.9999638398597566,3.616014024348792e-05,0.8336653558092281,-0.0034289696711079544,0.15462174850372687
daily_screen_time_hours,social_media_hours,round_1.0,10,0.9061336371332864,0.9999942143775611,5.7856224389580675e-06,0.8324794010037054,-0.003689044734182453,0.11847822683165862
daily_screen_time_hours,social_media_hours,round_1.0,50,0.9059350922469986,0.9999942143775611,5.7856224389580675e-06,0.8322420172890775,-0.0036866518497157756,0.12724131799464256
daily_screen_time_hours,social_media_hours,round_1.0,100,0.9057616939768773,0.9999942143775611,5.7856224389580675e-06,0.8318958909303188,-0.0036793099545747708,0.13222630973485885
social_media_hours,weekend_screen_time,round_0.5,100,0.9052387544832605,0.9999638398597566,3.616014024348792e-05,0.8319887546361134,-0.0034243028800377273,0.16614868908629352
social_media_hours,weekend_screen_time,round_1.0,10,0.9023301835111284,0.9999855359439026,1.4464056097395168e-05,0.8236006034997887,-0.0036622342414173916,0.123928197977651
social_media_hours,weekend_screen_time,round_1.0,50,0.9020588948366725,0.9999855359439026,1.4464056097395168e-05,0.8232183957399113,-0.0036445146091477164,0.13298292179009158
social_media_hours,weekend_screen_time,round_1.0,100,0.9017369343997775,0.9999855359439026,1.4464056097395168e-05,0.822704872529075,-0.003628668054072933,0.1398944763989824
daily_screen_time_hours,weekend_screen_time,round_0.5,10,0.8926615413379766,0.999894412390489,0.00010558760951098472,0.7969971355510803,-0.002501926993133785,0.09789814282570256
daily_screen_time_hours,weekend_screen_time,round_0.5,50,0.8915132734990131,0.999894412390489,0.00010558760951098472,0.7946211570104696,-0.0024767665098199784,0.11275083093997812
daily_screen_time_hours,weekend_screen_time,round_1.0,10,0.8910362813268642,0.999978303915854,2.1696084146092753e-05,0.7934792801136665,-0.0027586368952252417,0.08782011502181189
daily_screen_time_hours,weekend_screen_time,round_1.0,50,0.8906383657765222,0.999978303915854,2.1696084146092753e-05,0.7927054994770932,-0.002713182590124896,0.09578136622165155
daily_screen_time_hours,weekend_screen_time,round_0.5,100,0.8903130536969789,0.999894412390489,0.00010558760951098472,0.7919461630424056,-0.002452205132853794,0.12110731771776737
daily_screen_time_hours,weekend_screen_time,round_1.0,100,0.8901927287820688,0.999978303915854,2.1696084146092753e-05,0.7917864541388538,-0.0026731169651246084,0.10073856999487714
daily_screen_time_hours,work_study_hours,round_0.5,10,0.8842141532925628,0.9999826431326831,1.7356867316874202e-05,0.7737063923024706,-0.0017083162372793048,0.10230910598760877
daily_screen_time_hours,work_study_hours,round_0.5,50,0.8836525994757889,0.9999826431326831,1.7356867316874202e-05,0.7725194013560612,-0.0017217813083460268,0.11296022631991419
daily_screen_time_hours,work_study_hours,round_0.5,100,0.8829836836901603,0.9999826431326831,1.7356867316874202e-05,0.7709990807838281,-0.0017271266791610187,0.12036312387313244
daily_screen_time_hours,work_study_hours,round_1.0,10,0.8808634436036258,1.0,0.0,0.7654088775041289,-0.0019820969395759084,0.09507303060588995
daily_screen_time_hours,work_study_hours,round_1.0,50,0.8806733368291073,1.0,0.0,0.7650077795716154,-0.0019802295038144537,0.09907968158253067
daily_screen_time_hours,work_study_hours,round_1.0,100,0.8803549203039596,1.0,0.0,0.7644847954628181,-0.0019806496904295353,0.10270514471595266
social_media_hours,gaming_hours,round_0.5,10,0.8385670763522117,0.9999942143775611,5.7856224389580675e-06,0.6815061792353995,-0.0028373459869071287,0.1577099491133961
social_media_hours,gaming_hours,round_0.5,50,0.8383239729169967,0.9999942143775611,5.7856224389580675e-06,0.6812271146062978,-0.0028441771551913843,0.1624280713278981
social_media_hours,gaming_hours,round_0.5,100,0.8380200086647995,0.9999942143775611,5.7856224389580675e-06,0.6807931999108683,-0.00284951230141307,0.16658345448817496
social_media_hours,gaming_hours,round_1.0,10,0.8273273622729067,0.9999942143775611,5.7856224389580675e-06,0.6629474487578686,-0.003197347167992802,0.1422829390366919
social_media_hours,gaming_hours,round_1.0,50,0.8272589079885487,0.9999942143775611,5.7856224389580675e-06,0.6628797838651823,-0.0032021348179976728,0.14391522979197427
social_media_hours,gaming_hours,round_1.0,100,0.827152900763294,0.9999942143775611,5.7856224389580675e-06,0.6627739014017137,-0.0032067154476212163,0.14573523699832894
