label,auc,mean_auc,std,folds,best_iterations,seconds,peak_rss_gb,completed_folds,max_bin
maxbin_255,0.9635659066281885,0.9635668322818346,0.00048076537847892254,"[0.9629327483706347, 0.9636713743106484, 0.9640963741642206]","[5482, 5481, 6293]",362.51855570008047,0.515045166015625,3,255
maxbin_511,0.9647704442831727,0.9647702888376357,0.0005192704566637173,"[0.9640634365404629, 0.964951283599196, 0.9652961463732482]","[6216, 6165, 6787]",435.50762410019524,0.5266838073730469,3,511
maxbin_1023,0.9656830506810881,0.9656911958129699,0.0004747159566707564,"[0.9650483825946223, 0.9658448936447495, 0.9661803111995377]","[8964, 7877, 6324]",530.625164499972,0.5366401672363281,3,1023
maxbin_2047,0.9659142688412763,0.9659178158693683,0.0004742704311843836,"[0.9652603924620158, 0.966131442776297, 0.9663616123697922]","[7999, 7686, 6720]",520.5753492000513,0.5398445129394531,3,2047
maxbin_4095,0.9659142771294498,0.9659178249187005,0.0004742745074545311,"[0.9652603924620158, 0.9661314699242932, 0.9663616123697922]","[7999, 7686, 6720]",514.6403284000698,0.5465812683105469,3,4095
