feature,logistic_coefficient,abs_logistic_coefficient,lightgbm_gain
diff_daily_screen_time_hours,-0.6674301903585538,0.6674301903585538,281455.41645040514
diff_weekend_screen_time,-0.6174045570906744,0.6174045570906744,128486.71637125015
diff_social_media_hours,-0.3779153074932077,0.3779153074932077,67902.02688419819
absdiff_daily_screen_time_hours,-0.24129716442676857,0.24129716442676857,8990.06991443634
absdiff_weekend_screen_time,-0.10048659001918636,0.10048659001918636,10579.268541765214
diff_gaming_hours,0.0961991578476357,0.0961991578476357,5821.896315479278
diff_sleep_hours,-0.07377778495204378,0.07377778495204378,2399.8293697357176
absdiff_work_study_hours,0.055803091122295014,0.055803091122295014,2280.84735159874
diff_work_study_hours,-0.03490075351530906,0.03490075351530906,7343.1253911018375
absdiff_notifications_per_day,-0.029743456215255506,0.029743456215255506,659.379253911972
absdiff_age,-0.028887513150898998,0.028887513150898998,178.13772869110107
diff_age,-0.015472100876716119,0.015472100876716119,691.0758189022541
absdiff_app_opens_per_day,-0.011798872588781832,0.011798872588781832,246.88536796569824
absdiff_social_media_hours,0.009956122909121751,0.009956122909121751,3715.2470343351365
same_stress_level,-0.008551160875786383,0.008551160875786383,18.437110137939452
absdiff_gaming_hours,-0.006628040841694612,0.006628040841694612,369.77253913879395
diff_app_opens_per_day,-0.006268882318814208,0.006268882318814208,1053.126000404358
same_academic_work_impact,0.00462004361797517,0.00462004361797517,6.591547966003418
diff_notifications_per_day,0.0022901200520976366,0.0022901200520976366,1248.301854133606
same_gender,-0.001476631466353021,0.001476631466353021,0.0
absdiff_sleep_hours,-0.0009078849410103602,0.0009078849410103602,524.7100848674775
