feature,auc,delta,folds_improved,std,cardinality,folds
screen_minus_social,0.9634065316265719,-0.00010343215896924107,0,0.0004289798926162377,1289,"[0.9629701722642239, 0.9634135152831631, 0.9635421967860042, 0.9641312189981537, 0.9629751574428962]"
social_minus_gaming,0.9633695515044922,-0.00014041228104888503,0,0.0004616898284762278,1074,"[0.9629097902996024, 0.9634692828495586, 0.9635255971816757, 0.9641015985043464, 0.9628364259613439]"
social_minus_work,0.963357188494859,-0.0001527752906821389,0,0.00044784829495256756,1223,"[0.9629013614810255, 0.9633792971366232, 0.9634621058834503, 0.9641242975276747, 0.9629154738673252]"
weekend_minus_social,0.9633337276965889,-0.00017623608895223075,0,0.00046210132239024636,1712,"[0.9628295948645764, 0.9633659826935761, 0.9634676590441676, 0.9641097956769356, 0.962895231658176]"
screen_minus_work,0.9633158107639048,-0.00019415302163627857,0,0.00041124508058641246,1308,"[0.9628712444579761, 0.9633630512174062, 0.9634478529316312, 0.9639922618518229, 0.9629026263910778]"
work_minus_gaming,0.9633087330384706,-0.00020123074707045774,0,0.0004593398772341587,942,"[0.9628201597940962, 0.9633434587367664, 0.9634212270901723, 0.9640883416556469, 0.9628675832986265]"
weekend_minus_screen,0.9633042543000537,-0.0002057094854873709,0,0.00042045522000262926,1397,"[0.9628153084217711, 0.9633047725882051, 0.9634568825582027, 0.9640043952301677, 0.9629418282437625]"
screen_minus_gaming,0.9633031896397298,-0.00020677414581127262,0,0.00042923961013879267,1366,"[0.962841723929688, 0.9633772544401852, 0.9634056756014795, 0.964015931352592, 0.9628738956527136]"
