base_spec,new_ratio,auc,delta_vs_base,folds_improved,std,cardinality,folds
"[('social_over_screen', 2), ('gaming_over_screen', 2), ('work_over_screen', 2)]",work_over_social,0.9634558442915742,0.00010148807429888329,5,0.0004355205239942989,3195,"[0.9629487466595295, 0.9635225553374831, 0.9635462750747317, 0.9641865359585532, 0.963075444178745]"
"[('social_over_screen', 2), ('gaming_over_screen', 2), ('work_over_screen', 2)]",gaming_over_social,0.9633867986972775,3.244248000222605e-05,4,0.000430464941060524,2220,"[0.9629524496969795, 0.9634329174741088, 0.9635199270562261, 0.9640985581824715, 0.9629270253306832]"
"[('social_over_screen', 2), ('gaming_over_screen', 2), ('work_over_screen', 2)]",social_over_weekend,0.9633409072145314,-1.3449002743914917e-05,0,0.00043085153904702045,186,"[0.9628623734061497, 0.9633889283323481, 0.9634654169241301, 0.9640572620204639, 0.9629307880305951]"
"[('social_over_screen', 2), ('gaming_over_screen', 2), ('work_over_screen', 2)]",gaming_over_work,0.9632506073648651,-0.00010374885241015708,0,0.0004231883498737031,762,"[0.9628068184567724, 0.9632976798570017, 0.9633655272669077, 0.9639584169268032, 0.9628239029957633]"
"[('social_over_screen', 2), ('gaming_over_screen', 2), ('work_over_screen', 2)]",notifications_over_app_opens,0.963169649641868,-0.00018470657540725632,0,0.00042162086017999146,1316,"[0.9627096311669281, 0.9632000767207451, 0.9632613735982165, 0.9638909493351266, 0.9627854732196689]"
"[('social_over_screen', 2), ('gaming_over_screen', 2), ('work_over_screen', 2)]",weekend_over_work,0.9630706275443562,-0.0002837286729190369,0,0.0003681529567089725,3599,"[0.9626200338986882, 0.9630961990989705, 0.9632032766322437, 0.9636718842870291, 0.9627625867179719]"
"[('social_over_screen', 2), ('gaming_over_screen', 2), ('work_over_screen', 2)]",app_opens_over_screen,0.9626142089980105,-0.0007401472192647418,0,0.0004285034528457984,7914,"[0.9621517142156402, 0.9626837794239451, 0.9627177725212067, 0.9633273523633252, 0.9621899027764673]"
"[('social_over_screen', 2), ('gaming_over_screen', 2), ('work_over_screen', 2)]",notifications_over_screen,0.9624440571375847,-0.0009102990796905353,0,0.0003902824431946994,10481,"[0.9619478505231981, 0.9626079225939481, 0.9625343512700387, 0.9630384654594539, 0.9620876050386287]"
