label,fold,auc,columns,nnz,csr_mb,peak_rss_gb,seconds,effective_bins
screen_round_0.0,1,0.9630780444472604,229900,11614995,90.72527313232422,1.2612762451171875,50.07132069999352,{}
screen_round_0.0,2,0.9635703383483079,229684,11614995,90.72527313232422,1.2612380981445312,51.90008580009453,{}
screen_round_0.0,3,0.9636371391648957,229801,11614995,90.72527313232422,1.2612838745117188,50.288278499851,{}
screen_round_0.0,4,0.9642932075404788,229764,11614995,90.72527313232422,1.260650634765625,54.17514239996672,{}
screen_round_0.0,5,0.9630956579710104,229951,11615016,90.72543716430664,1.2606582641601562,45.34176360000856,{}
screen_round_2.0,1,0.9629701722642239,231163,11614995,90.72527313232422,1.2876472473144531,52.3466801000759,{}
screen_round_2.0,2,0.9634135152831631,230951,11614995,90.72527313232422,1.2876434326171875,54.09960970003158,{}
screen_round_2.0,3,0.9635421967860042,231064,11614995,90.72527313232422,1.2876243591308594,43.6017074000556,{}
screen_round_2.0,4,0.9641312189981537,231028,11614995,90.72527313232422,1.2876319885253906,43.00138520007022,{}
screen_round_2.0,5,0.9629751574428962,231214,11615016,90.72543716430664,1.2876319885253906,42.58221899997443,{}
screen_step_0.25,1,0.9631375723917338,229940,11614995,90.72527313232422,1.2878952026367188,53.89007560000755,{}
screen_step_0.25,2,0.963599944126379,229725,11614995,90.72527313232422,1.2879486083984375,54.36408830014989,{}
screen_step_0.25,3,0.963677915201739,229842,11614995,90.72527313232422,1.2879219055175781,53.48242300003767,{}
screen_step_0.25,4,0.9643233519652442,229806,11614995,90.72527313232422,1.28778076171875,53.39178860001266,{}
screen_step_0.25,5,0.9631492458712347,229992,11615016,90.72543716430664,1.2877883911132812,54.72207389981486,{}
screen_step_0.5,1,0.96312047194493,229914,11614995,90.72527313232422,1.2871437072753906,55.291931400075555,{}
screen_step_0.5,2,0.9636001778021233,229698,11614995,90.72527313232422,1.2872123718261719,45.133034399943426,{}
screen_step_0.5,3,0.9636875349800824,229815,11614995,90.72527313232422,1.2872161865234375,52.56475519994274,{}
screen_step_0.5,4,0.9643221201566237,229779,11614995,90.72527313232422,1.2870750427246094,45.29051059996709,{}
screen_step_0.5,5,0.9631627542937579,229965,11615016,90.72543716430664,1.2870826721191406,55.24691849993542,{}
screen_step_0.75,1,0.9631129717400609,229904,11614995,90.72527313232422,1.296539306640625,45.01188939996064,{}
screen_step_0.75,2,0.9635668580766598,229688,11614995,90.72527313232422,1.2965354919433594,46.69568850006908,{}
screen_step_0.75,3,0.9636739000891902,229805,11614995,90.72527313232422,1.296539306640625,45.06195010012016,{}
screen_step_0.75,4,0.9642745949249045,229769,11614995,90.72527313232422,1.2964057922363281,50.984963400056586,{}
screen_step_0.75,5,0.9631242666690065,229955,11615016,90.72543716430664,1.2964019775390625,42.53467500000261,{}
screen_step_1.0,1,0.9630780444472604,229900,11614995,90.72527313232422,1.28509521484375,44.047466799849644,{}
screen_step_1.0,2,0.9635703383483079,229684,11614995,90.72527313232422,1.2850914001464844,48.020732400007546,{}
screen_step_1.0,3,0.9636371391648957,229801,11614995,90.72527313232422,1.28509521484375,49.306333099957556,{}
screen_step_1.0,4,0.9642932075404788,229764,11614995,90.72527313232422,1.2851104736328125,53.12943970016204,{}
screen_step_1.0,5,0.9630956579710104,229951,11615016,90.72543716430664,1.2851142883300781,48.32512790011242,{}
screen_quantile_20,1,0.963112378036215,229904,11614995,90.72527313232422,1.3137168884277344,48.508874600054696,{'screen_minus_social': 20}
screen_quantile_20,2,0.9636051504524136,229688,11614995,90.72527313232422,1.242828369140625,50.97603720007464,{'screen_minus_social': 20}
screen_quantile_20,3,0.9636712517640853,229805,11614995,90.72527313232422,1.2437896728515625,47.62145629990846,{'screen_minus_social': 20}
screen_quantile_20,4,0.964309054358777,229769,11614995,90.72527313232422,1.2443962097167969,44.258464500075206,{'screen_minus_social': 20}
screen_quantile_20,5,0.9631496629904966,229955,11615016,90.72543716430664,1.2444000244140625,42.9006681998726,{'screen_minus_social': 20}
screen_quantile_40,1,0.9631310457089406,229924,11614995,90.72527313232422,1.2480087280273438,57.41428829985671,{'screen_minus_social': 40}
screen_quantile_40,2,0.9635879485177727,229708,11614995,90.72527313232422,1.2489509582519531,55.68874469981529,{'screen_minus_social': 40}
screen_quantile_40,3,0.9636900795338738,229825,11614995,90.72527313232422,1.0953559875488281,52.63383170007728,{'screen_minus_social': 40}
screen_quantile_40,4,0.9643248468810822,229789,11614995,90.72527313232422,1.095367431640625,48.7549857001286,{'screen_minus_social': 40}
screen_quantile_40,5,0.9631531412678463,229975,11615016,90.72543716430664,1.0953903198242188,39.45153810014017,{'screen_minus_social': 40}
screen_quantile_60,1,0.9631276514482343,229944,11614995,90.72527313232422,1.0990066528320312,48.036505500087515,{'screen_minus_social': 60}
screen_quantile_60,2,0.9635948588245896,229728,11614995,90.72527313232422,1.0989990234375,57.844381999922916,{'screen_minus_social': 60}
screen_quantile_60,3,0.963684709558702,229845,11614995,90.72527313232422,1.0989952087402344,47.03752829995938,{'screen_minus_social': 60}
screen_quantile_60,4,0.9643238852838273,229809,11614995,90.72527313232422,1.0733909606933594,47.20143699995242,{'screen_minus_social': 60}
screen_quantile_60,5,0.9631492943321707,229995,11615016,90.72543716430664,1.0733985900878906,49.474123100051656,{'screen_minus_social': 60}
screen_quantile_80,1,0.96313326803885,229964,11614995,90.72527313232422,1.0785636901855469,51.04083049995825,{'screen_minus_social': 80}
screen_quantile_80,2,0.9635855412262806,229748,11614995,90.72527313232422,1.078582763671875,51.20280660013668,{'screen_minus_social': 80}
screen_quantile_80,3,0.9636926545340164,229865,11614995,90.72527313232422,1.0785865783691406,59.85186230018735,{'screen_minus_social': 80}
screen_quantile_80,4,0.9643172355470319,229829,11614995,90.72527313232422,1.0795249938964844,49.54886589990929,{'screen_minus_social': 80}
screen_quantile_80,5,0.963147769461876,230015,11615016,90.72543716430664,1.0709152221679688,55.26776820002124,{'screen_minus_social': 80}
screen_quantile_100,1,0.9631354195809929,229984,11614995,90.72527313232422,1.0744590759277344,47.85866379993968,{'screen_minus_social': 100}
screen_quantile_100,2,0.9635762966992143,229768,11614995,90.72527313232422,1.0744552612304688,52.15375469997525,{'screen_minus_social': 100}
screen_quantile_100,3,0.9636867527625792,229885,11614995,90.72527313232422,1.0754318237304688,48.986284899991006,{'screen_minus_social': 100}
screen_quantile_100,4,0.9643239482062863,229849,11614995,90.72527313232422,1.0760459899902344,49.47438219981268,{'screen_minus_social': 100}
screen_quantile_100,5,0.9631414281834605,230035,11615016,90.72543716430664,1.0552864074707031,54.605204599909484,{'screen_minus_social': 100}
work_over_screen_round_1.0,1,0.9629339849999276,229942,11614995,90.72527313232422,1.055023193359375,57.46921519981697,{}
work_over_screen_round_1.0,2,0.9634575432440211,229726,11614995,90.72527313232422,1.0550155639648438,63.48330560000613,{}
work_over_screen_round_1.0,3,0.963583160321626,229841,11614995,90.72527313232422,1.0550346374511719,61.25707640009932,{}
work_over_screen_round_1.0,4,0.9641569603731137,229807,11614995,90.72527313232422,1.0550003051757812,56.92014329996891,{}
work_over_screen_round_1.0,5,0.962985381178092,229991,11615016,90.72543716430664,1.0497207641601562,61.95161099988036,{}
work_over_screen_round_3.0,1,0.9629028104736173,230793,11614995,90.72527313232422,1.0558128356933594,58.18352479999885,{}
work_over_screen_round_3.0,2,0.9633749052504798,230575,11614995,90.72527313232422,1.0558090209960938,57.57292379997671,{}
work_over_screen_round_3.0,3,0.9635121036125964,230690,11614995,90.72527313232422,1.0558395385742188,50.86929440009408,{}
work_over_screen_round_3.0,4,0.9641371725283879,230658,11614995,90.72527313232422,1.0558395385742188,56.10988999996334,{}
work_over_screen_round_3.0,5,0.9628954975590194,230842,11615016,90.72543716430664,1.0566825866699219,52.46062560006976,{}
work_over_screen_step_0.01,1,0.9631288665113621,230023,11614995,90.72527313232422,1.0524749755859375,49.10183559986763,{}
work_over_screen_step_0.01,2,0.96358900830451,229808,11614995,90.72527313232422,1.0524673461914062,47.99678899999708,{}
work_over_screen_step_0.01,3,0.963690744786645,229923,11614995,90.72527313232422,1.0524749755859375,53.424231299897656,{}
work_over_screen_step_0.01,4,0.9643317257266697,229888,11614995,90.72527313232422,1.052490234375,44.708634899929166,{}
work_over_screen_step_0.01,5,0.9631392852459382,230073,11615016,90.72543716430664,1.052490234375,45.113363899989054,{}
