xgb_name,xgb_method,final_method,weights,cat_weight,auc,delta_vs_exp027,fold1,fold2,fold3,fold4,fold5,std,folds_improved,large_drop,test_available
5seed_A_equal,probability,probability,42:0.200000;2026:0.200000;777:0.200000;31415:0.200000;1234:0.200000,0.15,0.9659131041894323,-6.0838631696924494e-06,0.9652273135164452,0.9658480443346469,0.966125070862455,0.9666914257662249,0.9656722155773145,0.00048647361319308714,2,False,True
5seed_A_equal,probability,rank,42:0.200000;2026:0.200000;777:0.200000;31415:0.200000;1234:0.200000,0.15,0.9659056255202576,-1.3562532344413292e-05,0.9652238961672562,0.9658379210497726,0.9661175683741097,0.9666807331345854,0.9656665929669704,0.00048418726826026515,1,True,True
5seed_A_equal,probability,probability,42:0.200000;2026:0.200000;777:0.200000;31415:0.200000;1234:0.200000,0.2,0.9659264093531718,7.2213005697374655e-06,0.9652351968378988,0.9658569285798924,0.9661410336306067,0.9667084632905698,0.9656887306076569,0.0004892371353146601,4,False,True
5seed_A_equal,probability,rank,42:0.200000;2026:0.200000;777:0.200000;31415:0.200000;1234:0.200000,0.2,0.9659180612359254,-1.1268166766331689e-06,0.9652324059223831,0.9658456554378254,0.9661326441385666,0.9666960638872327,0.9656824448943984,0.0004862539620569061,3,False,True
5seed_A_equal,probability,probability,42:0.200000;2026:0.200000;777:0.200000;31415:0.200000;1234:0.200000,0.225,0.965929655732421,1.046767981893737e-05,0.9652362840263519,0.9658583481410115,0.9661460359660894,0.9667132865000203,0.9656936505344264,0.0004903967870168248,4,False,True
5seed_A_equal,probability,rank,42:0.200000;2026:0.200000;777:0.200000;31415:0.200000;1234:0.200000,0.225,0.9659211172743484,1.9292217463551253e-06,0.965233707377032,0.9658466484963097,0.9661371540043205,0.9667002430294979,0.9656877423597703,0.00048708328363017655,3,False,True
5seed_A_equal,probability,probability,42:0.200000;2026:0.200000;777:0.200000;31415:0.200000;1234:0.200000,0.25,0.9659307051390922,1.1517086490164807e-05,0.9652344001583787,0.9658577211998985,0.9661487705558556,0.9667155801251348,0.9656964100168435,0.0004916589616198318,4,False,True
5seed_A_equal,probability,rank,42:0.200000;2026:0.200000;777:0.200000;31415:0.200000;1234:0.200000,0.25,0.9659218169836667,2.6289310647298336e-06,0.9652320510955332,0.9658451817433463,0.9661387907494107,0.9667018845952603,0.9656904531275288,0.0004880086399594782,3,False,True
5seed_A_equal,probability,probability,42:0.200000;2026:0.200000;777:0.200000;31415:0.200000;1234:0.200000,0.275,0.9659293067251871,1.0118672585046617e-05,0.9652305573214331,0.9658548394527688,0.9661480086359198,0.9667156676583945,0.965696830941938,0.0004927545144298344,4,False,True
5seed_A_equal,probability,rank,42:0.200000;2026:0.200000;777:0.200000;31415:0.200000;1234:0.200000,0.275,0.9659202614662697,1.0734136677292838e-06,0.9652286844902624,0.9658419206854261,0.9661378275029782,0.966701299137301,0.9656907615268373,0.0004887618858441192,3,False,True
5seed_A_equal,probability,probability,42:0.200000;2026:0.200000;777:0.200000;31415:0.200000;1234:0.200000,0.3,0.9659257475293404,6.55947673833257e-06,0.9652243970097316,0.9658498668024789,0.9661453009404303,0.9667136477967198,0.9656944581321216,0.0004939909969432789,4,False,True
5seed_A_equal,probability,rank,42:0.200000;2026:0.200000;777:0.200000;31415:0.200000;1234:0.200000,0.3,0.9659165847269707,-2.6033256312896214e-06,0.9652226578887858,0.9658365792537086,0.9661349177198336,0.9666987880744957,0.9656892939977548,0.0004897157719398126,2,False,True
5seed_A_equal,probability,probability,42:0.200000;2026:0.200000;777:0.200000;31415:0.200000;1234:0.200000,0.325,0.9659199433063268,7.552537247823565e-07,0.9652156411466,0.9658428273523891,0.9661403346331299,0.9667090011761057,0.9656908228007434,0.0004951098928617944,4,False,True
5seed_A_equal,probability,rank,42:0.200000;2026:0.200000;777:0.200000;31415:0.200000;1234:0.200000,0.325,0.9659106903115325,-8.497741069479758e-06,0.9652145415258868,0.9658289157802817,0.9661300627954343,0.9666939421571418,0.9656850858885578,0.0004906760924472504,1,False,True
5seed_A_equal,probability,probability,42:0.200000;2026:0.200000;777:0.200000;31415:0.200000;1234:0.200000,0.35,0.9659120468159499,-7.1412366521306225e-06,0.9652049410302324,0.9658337249082946,0.9661334359974144,0.966702340275648,0.9656845056259349,0.000496283084095124,1,False,True
5seed_A_equal,probability,rank,42:0.200000;2026:0.200000;777:0.200000;31415:0.200000;1234:0.200000,0.35,0.9659026045713259,-1.6583481276088996e-05,0.96520435125904,0.9658198402304639,0.9661224789899595,0.9666864466460853,0.965679201056342,0.0004913389489065454,0,False,True
