model,pearson,spearman
EXP-016,0.8981143664136905,0.9417900701146542
EXP-022,0.9025954267089994,0.9440133620987055
EXP-027,0.9008817660620105,0.9439106871419805
EXP-028,0.9009245305110043,0.9439307638039115
EXP-006,0.9093414691127538,0.9459100813791381
