feature,granularity,smoothing,auc,fold_std,coverage,cardinality,weighted_std_target_rate_across_folds
daily_screen_time_hours,exact,1.0,0.8777610741228175,0.0001479377887773493,0.999927679719513,1390,0.018133325252523258
daily_screen_time_hours,exact,5.0,0.877578159745074,0.00012380534791904568,0.999927679719513,1390,0.018133325252523258
daily_screen_time_hours,exact,10.0,0.8773125270297484,0.00010958433181413364,0.999927679719513,1390,0.018133325252523258
daily_screen_time_hours,exact,20.0,0.8767728956656247,9.76388078976098e-05,0.999927679719513,1390,0.018133325252523258
daily_screen_time_hours,exact,50.0,0.8752607643972922,0.00015457071540715667,0.999927679719513,1390,0.018133325252523258
daily_screen_time_hours,exact,100.0,0.8732020751145038,0.00020916189365968797,0.999927679719513,1390,0.018133325252523258
daily_screen_time_hours,exact,200.0,0.8701586845883271,0.00023722973934699854,0.999927679719513,1390,0.018133325252523258
daily_screen_time_hours,round_0.1,1.0,0.8680793648058356,0.0003036095165892586,1.0,147,0.006860275538750854
daily_screen_time_hours,round_0.1,5.0,0.8680645286442106,0.0002957420595405049,1.0,147,0.006860275538750854
daily_screen_time_hours,round_0.1,10.0,0.8680430330705703,0.00028473537921311934,1.0,147,0.006860275538750854
