model,misordered_pairs,corrected_misordered_rate,broken_correct_rate,net_pair_gain
FM,119299,0.337320514002632,0.24733652419550875,0.08998398980712327
EXP-022,119299,0.2437069883234562,0.14852597255635,0.09518101576710619
EXP-027,119299,0.11544103471110403,0.08886914391570759,0.026571890795396444
EXP-028,119299,0.12110746946747249,0.09166044979421453,0.029447019673257954
