label,oof,delta,folds_improved,fold_aucs,std,best_iterations,seconds,peak_rss_gb,fold_deltas,promising
gaming_over_screen_cat,0.9655411301040141,-0.0009713288672568154,0,"[0.9650154407844913, 0.9655458566885864, 0.9660746529736638]",0.00043242173397432283,"[9384, 7450, 8620]",595.626747299917,0.6787528991699219,"[-0.0009994273536116927, -0.0011028241767588876, -0.0008018000887487498]",False
social_over_screen_cat,0.9654299782710496,-0.0010824807002213221,0,"[0.9648501524920083, 0.9655597645817601, 0.9658821787537214]",0.0004310940115397311,"[9281, 8997, 8863]",635.2817591000348,0.6818618774414062,"[-0.0011647156460946606, -0.0010889162835852062, -0.0009942743086911454]",False
work_over_screen_cat,0.9652303236315932,-0.0012821353396776924,0,"[0.9646219318455614, 0.9654296975162251, 0.9656422379112862]",0.0004395304648764067,"[8658, 8481, 8425]",602.7878985998686,0.685089111328125,"[-0.0013929362925415578, -0.001218983349120184, -0.0012342151511263166]",False
screen_minus_social_cat,0.9650852791461344,-0.0014271798251365153,0,"[0.9645573235468307, 0.9653039540862631, 0.9653998210193491]",0.0003766002334442592,"[8463, 7954, 8406]",585.6337305000052,0.69287109375,"[-0.0014575445912723417, -0.0013447267790821504, -0.001476632043063475]",False
gaming_over_social_cat,0.9629088181729843,-0.003603640798286567,0,"[0.962358897955808, 0.9628367860389819, 0.9635361630803789]",0.00048344348625298244,"[5994, 5609, 5374]",426.69788199989125,0.6822700500488281,"[-0.003655970182295021, -0.003811894826363349, -0.0033402899820336174]",False
work_over_social_cat,0.9622628140078975,-0.0042496449633734334,0,"[0.9616160059745686, 0.9624036610691848, 0.9627985784055719]",0.0004915777100568846,"[6069, 5410, 4314]",406.82864780002274,0.6882972717285156,"[-0.004398862163534356, -0.004245019796160432, -0.004077874656840619]",False
