feature,type,shift_score,train_mean,test_mean,train_median,test_median,train_std,test_std,standardized_mean_difference,max_category_proportion_difference
academic_work_impact,categorical,0.02284086228582817,,,,,,,,0.02284086228582817
stress_level,categorical,0.013529901618057616,,,,,,,,0.013529901618057616
gender,categorical,0.005969636208721742,,,,,,,,0.005969636208721742
notifications_per_day,numeric,0.0022258903905217433,145.89489968498762,145.74806643747544,150.0,150.0,65.91755632228919,66.01455359086188,-0.0022258903905217433,
sleep_hours,numeric,0.00212887262938484,6.80433409750359,6.801704309340617,6.8,6.8,1.2345120561267866,1.2360797465419553,-0.00212887262938484,
weekend_screen_time,numeric,0.0018519796185992503,9.479866442778084,9.474574975672319,9.58,9.58,2.8560055145844685,2.8583842056735,-0.0018519796185992503,
gaming_hours,numeric,0.0017083430335138546,1.4592647215117227,1.4576680372506143,1.33,1.33,0.9345517121852581,0.9347265566405674,-0.0017083430335138546,
age,numeric,0.001303910051388631,26.61540818791136,26.608688799415397,27.0,27.0,5.153162178266936,5.153359329988244,-0.001303910051388631,
work_study_hours,numeric,0.000802154448054545,2.366970904163625,2.3659618657480683,2.2,2.2,1.258796742542741,1.2570234148782093,-0.000802154448054545,
app_opens_per_day,numeric,0.0004037128622695281,102.63678092028448,102.65621570083925,104.0,104.0,48.09397048505239,48.186200171655116,0.0004037128622695281,
social_media_hours,numeric,0.00014102762930322363,2.4710382077384305,2.4712239609489566,2.31,2.32,1.316137101001467,1.3181432535415751,0.00014102762930322363,
daily_screen_time_hours,numeric,3.478773265441933e-05,7.6408654878550495,7.64077073703864,7.77,7.77,2.721446351675991,2.725921281065798,-3.478773265441933e-05,
