label,spec,fold,auc,columns,nnz,csr_mb,peak_rss_gb,iterations,seconds
B,[],1,0.9595882324350711,224565,8296425,65.4065933227539,1.08270263671875,14,21.641729099908844
B,[],2,0.9598560712690012,224347,8296425,65.4065933227539,1.0877609252929688,14,21.37726249988191
B,[],3,0.9601147812719995,224462,8296425,65.4065933227539,1.0877113342285156,14,21.208349300082773
B,[],4,0.9606400554216958,224469,8296425,65.4065933227539,1.0878410339355469,15,29.058012399822474
B,[],5,0.9594788929668792,224543,8296440,65.40671157836914,1.0878486633300781,15,29.47982589993626
C-reproduction,"[('gaming_over_screen', 2), ('social_over_screen', 2), ('weekend_over_screen', 2), ('work_over_screen', 2)]",1,0.9628865252278636,225692,10508805,82.28571319580078,1.2248191833496094,11,32.56533660017885
C-reproduction,"[('gaming_over_screen', 2), ('social_over_screen', 2), ('weekend_over_screen', 2), ('work_over_screen', 2)]",2,0.9633692635416244,225469,10508805,82.28571319580078,1.2299537658691406,11,32.06039030011743
C-reproduction,"[('gaming_over_screen', 2), ('social_over_screen', 2), ('weekend_over_screen', 2), ('work_over_screen', 2)]",3,0.9634382280788958,225592,10508805,82.28571319580078,1.2299575805664062,11,31.9589778999798
C-reproduction,"[('gaming_over_screen', 2), ('social_over_screen', 2), ('weekend_over_screen', 2), ('work_over_screen', 2)]",4,0.9640120611139303,225589,10508805,82.28571319580078,1.2304725646972656,11,31.893192699877545
C-reproduction,"[('gaming_over_screen', 2), ('social_over_screen', 2), ('weekend_over_screen', 2), ('work_over_screen', 2)]",5,0.962869956108443,225679,10508824,82.28586196899414,1.2304725646972656,11,29.647674599895254
single_social_over_screen,"[('social_over_screen', 2)]",1,0.9606937298014546,224656,8849520,69.62637329101562,1.1312370300292969,11,31.990644000004977
single_social_over_screen,"[('social_over_screen', 2)]",2,0.9612061916191774,224436,8849520,69.62637329101562,1.13543701171875,10,27.996372899971902
single_social_over_screen,"[('social_over_screen', 2)]",3,0.9613263864553745,224553,8849520,69.62637329101562,1.1354408264160156,11,29.59233510005288
single_social_over_screen,"[('social_over_screen', 2)]",4,0.9619081644657234,224559,8849520,69.62637329101562,1.1354408264160156,11,31.68242309987545
single_social_over_screen,"[('social_over_screen', 2)]",5,0.9606450645462195,224634,8849536,69.62649917602539,1.1354179382324219,11,26.923311399994418
single_gaming_over_screen,"[('gaming_over_screen', 2)]",1,0.9605959008547613,224645,8849520,69.62637329101562,1.1353759765625,10,26.44989769998938
single_gaming_over_screen,"[('gaming_over_screen', 2)]",2,0.9610073127555656,224428,8849520,69.62637329101562,1.1405220031738281,10,26.83680050005205
single_gaming_over_screen,"[('gaming_over_screen', 2)]",3,0.961195662509815,224543,8849520,69.62637329101562,1.1405258178710938,10,25.295110899955034
single_gaming_over_screen,"[('gaming_over_screen', 2)]",4,0.9616749535354748,224550,8849520,69.62637329101562,1.1403961181640625,10,25.366027900017798
single_gaming_over_screen,"[('gaming_over_screen', 2)]",5,0.9605770231083559,224624,8849536,69.62649917602539,1.1403999328613281,10,25.272191100055352
single_work_over_screen,"[('work_over_screen', 2)]",1,0.9610557300653713,224657,8849520,69.62637329101562,1.1436843872070312,11,28.555050699971616
single_work_over_screen,"[('work_over_screen', 2)]",2,0.9612427805215882,224440,8849520,69.62637329101562,1.1488571166992188,10,23.989405800122768
single_work_over_screen,"[('work_over_screen', 2)]",3,0.9615248796652057,224555,8849520,69.62637329101562,1.1488609313964844,11,30.94265430001542
single_work_over_screen,"[('work_over_screen', 2)]",4,0.9620284716997,224561,8849520,69.62637329101562,1.1488494873046875,10,24.025294200051576
single_work_over_screen,"[('work_over_screen', 2)]",5,0.9610409939467304,224636,8849536,69.62649917602539,1.1488494873046875,10,24.10348580009304
single_weekend_over_screen,"[('weekend_over_screen', 2)]",1,0.9596141326384959,225429,8849520,69.62637329101562,1.1477737426757812,10,23.19117069989443
single_weekend_over_screen,"[('weekend_over_screen', 2)]",2,0.9598268851431361,225206,8849520,69.62637329101562,1.1529045104980469,11,28.778313300106674
single_weekend_over_screen,"[('weekend_over_screen', 2)]",3,0.9600976562143949,225327,8849520,69.62637329101562,1.1529083251953125,11,29.878558499971405
single_weekend_over_screen,"[('weekend_over_screen', 2)]",4,0.9606099855904907,225326,8849520,69.62637329101562,1.1529083251953125,10,23.8987043001689
single_weekend_over_screen,"[('weekend_over_screen', 2)]",5,0.959427196565498,225414,8849536,69.62649917602539,1.1529083251953125,10,22.87392669986002
C_minus_social_over_screen,"[('gaming_over_screen', 2), ('weekend_over_screen', 2), ('work_over_screen', 2)]",1,0.9621955518868041,225601,9955710,78.06593322753906,1.2213020324707031,11,31.44691290007904
C_minus_social_over_screen,"[('gaming_over_screen', 2), ('weekend_over_screen', 2), ('work_over_screen', 2)]",2,0.962537591776672,225380,9955710,78.06593322753906,1.2265510559082031,11,31.02063380018808
C_minus_social_over_screen,"[('gaming_over_screen', 2), ('weekend_over_screen', 2), ('work_over_screen', 2)]",3,0.962741770588848,225501,9955710,78.06593322753906,1.2265548706054688,11,32.20342250005342
C_minus_social_over_screen,"[('gaming_over_screen', 2), ('weekend_over_screen', 2), ('work_over_screen', 2)]",4,0.9632018804133273,225499,9955710,78.06593322753906,1.2257804870605469,11,34.84781700000167
C_minus_social_over_screen,"[('gaming_over_screen', 2), ('weekend_over_screen', 2), ('work_over_screen', 2)]",5,0.9622147997727094,225588,9955728,78.06607437133789,1.2258110046386719,11,33.82465409999713
C_minus_gaming_over_screen,"[('social_over_screen', 2), ('weekend_over_screen', 2), ('work_over_screen', 2)]",1,0.9619593480802441,225612,9955710,78.06593322753906,1.2264633178710938,11,30.86654320009984
C_minus_gaming_over_screen,"[('social_over_screen', 2), ('weekend_over_screen', 2), ('work_over_screen', 2)]",2,0.9623327243695223,225388,9955710,78.06593322753906,1.2316093444824219,11,30.892689700005576
C_minus_gaming_over_screen,"[('social_over_screen', 2), ('weekend_over_screen', 2), ('work_over_screen', 2)]",3,0.962481787167216,225511,9955710,78.06593322753906,1.2316131591796875,11,31.167803399963304
C_minus_gaming_over_screen,"[('social_over_screen', 2), ('weekend_over_screen', 2), ('work_over_screen', 2)]",4,0.9630660813147622,225508,9955710,78.06593322753906,1.2317161560058594,11,31.235858799889684
C_minus_gaming_over_screen,"[('social_over_screen', 2), ('weekend_over_screen', 2), ('work_over_screen', 2)]",5,0.9619038439596665,225598,9955728,78.06607437133789,1.2317161560058594,11,30.347588000120595
C_minus_work_over_screen,"[('gaming_over_screen', 2), ('social_over_screen', 2), ('weekend_over_screen', 2)]",1,0.9615735182184958,225600,9955710,78.06593322753906,1.2291145324707031,11,31.117839599959552
C_minus_work_over_screen,"[('gaming_over_screen', 2), ('social_over_screen', 2), ('weekend_over_screen', 2)]",2,0.9621188915268579,225376,9955710,78.06593322753906,1.2336196899414062,11,30.050704299937934
C_minus_work_over_screen,"[('gaming_over_screen', 2), ('social_over_screen', 2), ('weekend_over_screen', 2)]",3,0.962161487494337,225499,9955710,78.06593322753906,1.2341384887695312,11,30.04279249999672
C_minus_work_over_screen,"[('gaming_over_screen', 2), ('social_over_screen', 2), ('weekend_over_screen', 2)]",4,0.9627255794730629,225497,9955710,78.06593322753906,1.2341384887695312,11,30.66163340001367
C_minus_work_over_screen,"[('gaming_over_screen', 2), ('social_over_screen', 2), ('weekend_over_screen', 2)]",5,0.9614699551839809,225586,9955728,78.06607437133789,1.2341384887695312,11,30.934861400164664
C_minus_weekend_over_screen,"[('gaming_over_screen', 2), ('social_over_screen', 2), ('work_over_screen', 2)]",1,0.9628964971690013,224828,9955710,78.06593322753906,1.2362213134765625,11,29.70072179986164
C_minus_weekend_over_screen,"[('gaming_over_screen', 2), ('social_over_screen', 2), ('work_over_screen', 2)]",2,0.9634025746406218,224610,9955710,78.06593322753906,1.2413673400878906,11,30.91060240007937
C_minus_weekend_over_screen,"[('gaming_over_screen', 2), ('social_over_screen', 2), ('work_over_screen', 2)]",3,0.9634671838273713,224727,9955710,78.06593322753906,1.2413711547851562,11,32.225308999884874
C_minus_weekend_over_screen,"[('gaming_over_screen', 2), ('social_over_screen', 2), ('work_over_screen', 2)]",4,0.9640576507188795,224732,9955710,78.06593322753906,1.2413711547851562,11,29.67584350006655
C_minus_weekend_over_screen,"[('gaming_over_screen', 2), ('social_over_screen', 2), ('work_over_screen', 2)]",5,0.9629479317844964,224808,9955728,78.06607437133789,1.2413711547851562,11,32.12383609986864
pair_social_over_screen_gaming_over_screen,"[('gaming_over_screen', 2), ('social_over_screen', 2)]",1,0.9615627460457639,224736,9402615,73.84615325927734,1.2062339782714844,11,34.873239799868315
pair_social_over_screen_gaming_over_screen,"[('gaming_over_screen', 2), ('social_over_screen', 2)]",2,0.9621596695934578,224517,9402615,73.84615325927734,1.2113800048828125,11,34.06423780019395
pair_social_over_screen_gaming_over_screen,"[('gaming_over_screen', 2), ('social_over_screen', 2)]",3,0.9622086052523906,224634,9402615,73.84615325927734,1.2113838195800781,10,28.565729999914765
pair_social_over_screen_gaming_over_screen,"[('gaming_over_screen', 2), ('social_over_screen', 2)]",4,0.9627640854807136,224640,9402615,73.84615325927734,1.2113838195800781,11,33.15574840013869
pair_social_over_screen_gaming_over_screen,"[('gaming_over_screen', 2), ('social_over_screen', 2)]",5,0.9615552809378328,224715,9402632,73.84628677368164,1.2113838195800781,11,33.24006350012496
pair_social_over_screen_work_over_screen,"[('social_over_screen', 2), ('work_over_screen', 2)]",1,0.9619587120052263,224748,9402615,73.84615325927734,1.2135848999023438,11,33.48020359990187
pair_social_over_screen_work_over_screen,"[('social_over_screen', 2), ('work_over_screen', 2)]",2,0.9623778674279888,224529,9402615,73.84615325927734,1.21875,10,26.478279100032523
pair_social_over_screen_work_over_screen,"[('social_over_screen', 2), ('work_over_screen', 2)]",3,0.9625172767026332,224646,9402615,73.84615325927734,1.2187538146972656,11,34.49425099999644
pair_social_over_screen_work_over_screen,"[('social_over_screen', 2), ('work_over_screen', 2)]",4,0.9631134395989893,224651,9402615,73.84615325927734,1.2187538146972656,10,27.309907200047746
pair_social_over_screen_work_over_screen,"[('social_over_screen', 2), ('work_over_screen', 2)]",5,0.9619879564140594,224727,9402632,73.84628677368164,1.2187538146972656,11,30.42888109991327
pair_social_over_screen_weekend_over_screen,"[('social_over_screen', 2), ('weekend_over_screen', 2)]",1,0.9607109299600584,225520,9402615,73.84615325927734,1.2167892456054688,10,23.812853900017217
pair_social_over_screen_weekend_over_screen,"[('social_over_screen', 2), ('weekend_over_screen', 2)]",2,0.9611604442006421,225295,9402615,73.84615325927734,1.2219352722167969,10,23.429358799941838
pair_social_over_screen_weekend_over_screen,"[('social_over_screen', 2), ('weekend_over_screen', 2)]",3,0.9612808638323977,225418,9402615,73.84615325927734,1.2219390869140625,11,26.15050409990363
pair_social_over_screen_weekend_over_screen,"[('social_over_screen', 2), ('weekend_over_screen', 2)]",4,0.9618680115641991,225416,9402615,73.84615325927734,1.2219390869140625,11,29.55500330007635
pair_social_over_screen_weekend_over_screen,"[('social_over_screen', 2), ('weekend_over_screen', 2)]",5,0.9605602639972775,225505,9402632,73.84628677368164,1.2219390869140625,10,23.036901500076056
pair_gaming_over_screen_work_over_screen,"[('gaming_over_screen', 2), ('work_over_screen', 2)]",1,0.9621971736624383,224737,9402615,73.84615325927734,1.2240180969238281,11,29.161902300082147
pair_gaming_over_screen_work_over_screen,"[('gaming_over_screen', 2), ('work_over_screen', 2)]",2,0.962544902199286,224521,9402615,73.84615325927734,1.2291641235351562,11,28.78264360013418
pair_gaming_over_screen_work_over_screen,"[('gaming_over_screen', 2), ('work_over_screen', 2)]",3,0.9627444201825506,224636,9402615,73.84615325927734,1.2291793823242188,11,29.351392699871212
pair_gaming_over_screen_work_over_screen,"[('gaming_over_screen', 2), ('work_over_screen', 2)]",4,0.9632350380119712,224642,9402615,73.84615325927734,1.2291793823242188,11,30.709733999799937
pair_gaming_over_screen_work_over_screen,"[('gaming_over_screen', 2), ('work_over_screen', 2)]",5,0.9622641010367223,224717,9402632,73.84628677368164,1.2291793823242188,11,32.957561099901795
pair_gaming_over_screen_weekend_over_screen,"[('gaming_over_screen', 2), ('weekend_over_screen', 2)]",1,0.9606098194041576,225509,9402615,73.84615325927734,1.2272796630859375,10,28.231860799947754
pair_gaming_over_screen_weekend_over_screen,"[('gaming_over_screen', 2), ('weekend_over_screen', 2)]",2,0.9609826659269269,225287,9402615,73.84615325927734,1.2324256896972656,11,34.23968599992804
pair_gaming_over_screen_weekend_over_screen,"[('gaming_over_screen', 2), ('weekend_over_screen', 2)]",3,0.9611794889006818,225408,9402615,73.84615325927734,1.2325325012207031,10,28.578990400070325
pair_gaming_over_screen_weekend_over_screen,"[('gaming_over_screen', 2), ('weekend_over_screen', 2)]",4,0.9616390352139466,225407,9402615,73.84615325927734,1.2325363159179688,11,28.738097099820152
pair_gaming_over_screen_weekend_over_screen,"[('gaming_over_screen', 2), ('weekend_over_screen', 2)]",5,0.9605239692933181,225495,9402632,73.84628677368164,1.2325363159179688,10,28.357829400105402
pair_work_over_screen_weekend_over_screen,"[('weekend_over_screen', 2), ('work_over_screen', 2)]",1,0.9610655038515072,225521,9402615,73.84615325927734,1.2349433898925781,11,30.067419999977574
pair_work_over_screen_weekend_over_screen,"[('weekend_over_screen', 2), ('work_over_screen', 2)]",2,0.9612277306365296,225299,9402615,73.84615325927734,1.2400894165039062,11,34.63586399983615
