feature,decimals,auc,delta,std,cardinality,folds_improved
screen_minus_social,1,0.9635752939431477,6.533015760656902e-05,0.0004410103652178554,141,5
social_minus_gaming,1,0.9635294087425114,1.9444956970260385e-05,0.00045344417039205735,115,4
screen_minus_social,2,0.9634065316265719,-0.00010343215896924107,0.0004289798926162377,1289,0
screen_minus_social,3,0.9634065316265719,-0.00010343215896924107,0.0004289798926162377,1289,0
social_minus_gaming,2,0.9633695515044922,-0.00014041228104888503,0.0004616898284762278,1074,0
social_minus_gaming,3,0.9633695515044922,-0.00014041228104888503,0.0004616898284762278,1074,0
