label,oof,delta,folds_improved,fold_aucs,std,best_iterations,seconds,peak_rss_gb,fold_deltas,cardinality,promising
age_cat,0.9661951351191082,-0.00031732385216276526,0,"[0.9656131572059115, 0.9663265876486682, 0.9666433387993287]",0.0004308374794787747,"[8449, 9427, 9049]",619.2817230001092,0.6577835083007812,"[-0.00040171093219154574, -0.00032209321667708846, -0.00023311426308381122]",21,False
appopens_cat,0.9641002668711613,-0.002412192100109567,0,"[0.9636218885876395, 0.9644661704700509, 0.9642206541395738]",0.00035459058577497817,"[5976, 6355, 4783]",428.10448609991,0.6332435607910156,"[-0.00239297955046347, -0.002182510395294379, -0.002655798922838737]",169,False
notifications_cat,0.9638670461163263,-0.0026454128549445732,0,"[0.9632477867871871, 0.9641110982733225, 0.964243845632631]",0.0004415958191080759,"[4599, 4954, 4395]",360.58434030017816,0.6236228942871094,"[-0.0027670813509158565, -0.002537582592022747, -0.0026326074297815527]",234,False
weekend_cat,0.9622753985701549,-0.004237060401116044,0,"[0.9617570514868641, 0.962124197184113, 0.9629435403334947]",0.0004959698627298102,"[3493, 3768, 3760]",301.0508618999738,0.6057243347167969,"[-0.0042578166512389215, -0.004524483681232261, -0.003932912728917826]",1440,False
screen_cat,0.9622361582416221,-0.0042763007296487965,0,"[0.9617656502975678, 0.9621467800038682, 0.9627960876403342]",0.00042539672688042643,"[3972, 4003, 4424]",331.5629798998125,0.6037216186523438,"[-0.004249217840535224, -0.0045019008614770595, -0.004080365422078347]",1392,False
social_cat,0.9618305425226178,-0.004681916448653123,0,"[0.961239902707112, 0.9620048932842646, 0.9622471612428007]",0.0004292725247546848,"[4361, 4388, 4070]",338.26586159993894,0.5968360900878906,"[-0.004774965430990985, -0.004643787581080638, -0.004629291819611803]",724,False
gaming_cat,0.9617979526920395,-0.004714506279231423,0,"[0.961471840726166, 0.9617226878321377, 0.9622027265694362]",0.0003032336055427849,"[5073, 4842, 4758]",377.957655900158,0.61566162109375,"[-0.004543027411937017, -0.004925993033207621, -0.004673726492976371]",404,False
sleep_cat,0.9610045548376924,-0.0055079041335784895,0,"[0.9604773842468076, 0.9610997412807364, 0.9614431499878047]",0.0003997167447434217,"[4744, 4472, 4339]",355.0853238001,0.6222953796386719,"[-0.0055374838912953805, -0.005548939584608892, -0.005433303074607876]",454,False
work_cat,0.9608837479452654,-0.005628711026005484,0,"[0.9603755267404268, 0.9608599678932318, 0.9614121946752221]",0.00042351938907617576,"[3908, 4334, 4358]",333.7241068002768,0.6101493835449219,"[-0.00563934139767619, -0.0057887129721134745, -0.005464258387190446]",603,False
