feature_set,feature_cfg,auc,mean_auc,std,delta_vs_raw,folds,eligible_full
raw,"((), False, ())",0.9659142771294498,0.9659178249187005,0.0004742745074545311,0.0,"[0.9652603924620158, 0.9661314699242932, 0.9663616123697922]",False
frequency,"(('weekend_freq', 'screen_freq'), False, ())",0.9661230315489449,0.9661246791194044,0.0005197169589662321,0.000208754419495083,"[0.9654237734174635, 0.9662835413289128, 0.9666667226118367]",True
relations,"((), True, ())",0.9659627496232668,0.965962388270185,0.0003772634976402754,4.847249381700891e-05,"[0.9654732024341437, 0.9660225508942187, 0.9663914114821925]",False
frequency_relations,"(('weekend_freq', 'screen_freq'), True, ())",0.9662783076152575,0.966279346963472,0.0003830006289971659,0.00036403048580768704,"[0.9657740296357499, 0.9663631121063025, 0.9667008991483638]",True
