label,auc,mean_auc,std,folds,best_iterations,seconds,peak_rss_gb,completed_folds,delta
screen_freq,0.9659622183767269,0.96596114457903,0.0005397327171990341,"[0.9652303051241586, 0.9661358488707374, 0.966517279742194]","[5840, 6726, 7266]",420.79811949981377,0.5746498107910156,3.0,4.7941247277139e-05
social_freq,0.9658199213784467,0.9658197473268064,0.00045374975189971364,"[0.9651995210723008, 0.9659873023924141, 0.9662724185157043]","[6142, 7205, 6321]",429.0137128001079,0.5799636840820312,3.0,-9.435575100302795e-05
weekend_freq,0.9660101093875246,0.966011674611881,0.00044131900182804853,"[0.9654169975820308, 0.9661449609561764, 0.9664730652974355]","[7320, 6356, 7635]",459.7945618997328,0.588592529296875,3.0,9.583225807485718e-05
work_freq,0.9658638453001767,0.9658638267504553,0.00042090588281741846,"[0.9653199327118897, 0.9659263051577816, 0.9663452423816947]","[7634, 7610, 7520]",481.0229428000748,0.59478759765625,3.0,-5.043182927311207e-05
gaming_freq,0.9658080148677042,0.9658093655862406,0.000427601572511522,"[0.9652318849092003, 0.9659426977269228, 0.9662535141225989]","[7232, 8098, 6690]",472.4761003998574,0.5998954772949219,3.0,-0.00010626226174559328
weekend_freq,0.9660101093875246,0.966011674611881,0.00044131900182804853,"[0.9654169975820308, 0.9661449609561764, 0.9664730652974355]",,,,,9.583225807485718e-05
weekend_freq+screen_freq,0.9661230315489449,0.9661246791194044,0.0005197169589662321,"[0.9654237734174635, 0.9662835413289128, 0.9666667226118367]",,,,,0.000208754419495083
weekend_freq+screen_freq+work_freq,0.9660643671250084,0.9660645039362508,0.00048073505058265534,"[0.9654309440405822, 0.9661677173201328, 0.9665948504480373]",,,,,0.00015008999555865543
weekend_freq+screen_freq+work_freq+social_freq+gaming_freq,0.9660863776943185,0.9660864004445088,0.00044150459901493857,"[0.9654809032043505, 0.9662571669235698, 0.9665211312056057]",,,,,0.00017210056486871572
