fold,scope,transformation,alpha,selection_auc_outer_train,corrector_auc,auc_exp016,auc_exp030,delta,best_iteration
1,ALL,A_probability,0.5,0.9660051830030039,0.9659822778807032,0.9650202929179754,0.9651514348665633,0.0001311419485878762,573
2,ALL,A_probability,0.5,0.9658540046232131,0.9668881353512412,0.9656644620983974,0.9657639334988719,9.947140047450453e-05,624
3,ALL,A_probability,0.5,0.9657872922640307,0.9666397425157753,0.9658836874972772,0.9660313009217997,0.00014761342452251913,516
4,ALL,A_probability,0.5,0.9656411635988683,0.9680713601262134,0.966455024819542,0.9666057811955142,0.00015075637597217195,560
5,ALL,A_probability,0.5,0.965887743537968,0.9676790849817626,0.9654874019318932,0.9656242651301817,0.00013686319828853932,638
