label,spec,fold,auc,columns,nnz,csr_mb,peak_rss_gb,seconds
diff_screen_minus_social,"[('screen_minus_social', 2)]",1,0.9629701722642239,231163,11614995,90.72527313232422,1.288787841796875,35.1488441999536
diff_screen_minus_social,"[('screen_minus_social', 2)]",2,0.9634135152831631,230951,11614995,90.72527313232422,1.2941970825195312,35.82668379996903
diff_screen_minus_social,"[('screen_minus_social', 2)]",3,0.9635421967860042,231064,11614995,90.72527313232422,1.2942008972167969,28.65292870020494
diff_screen_minus_social,"[('screen_minus_social', 2)]",4,0.9641312189981537,231028,11614995,90.72527313232422,1.2941932678222656,29.049269400071353
diff_screen_minus_social,"[('screen_minus_social', 2)]",5,0.9629751574428962,231214,11615016,90.72543716430664,1.29248046875,28.565832199994475
diff_screen_minus_work,"[('screen_minus_work', 2)]",1,0.9628712444579761,231184,11614995,90.72527313232422,1.2989921569824219,32.375063499901444
diff_screen_minus_work,"[('screen_minus_work', 2)]",2,0.9633630512174062,230968,11614995,90.72527313232422,1.30413818359375,35.9120302000083
diff_screen_minus_work,"[('screen_minus_work', 2)]",3,0.9634478529316312,231079,11614995,90.72527313232422,1.3041419982910156,28.56902789999731
diff_screen_minus_work,"[('screen_minus_work', 2)]",4,0.9639922618518229,231047,11614995,90.72527313232422,1.3041419982910156,35.94424479990266
diff_screen_minus_work,"[('screen_minus_work', 2)]",5,0.9629026263910778,231228,11615016,90.72543716430664,1.3043022155761719,35.94531930005178
diff_screen_minus_gaming,"[('screen_minus_gaming', 2)]",1,0.962841723929688,231242,11614995,90.72527313232422,1.3022918701171875,28.08988929982297
diff_screen_minus_gaming,"[('screen_minus_gaming', 2)]",2,0.9633772544401852,231023,11614995,90.72527313232422,1.3074378967285156,28.083421899937093
diff_screen_minus_gaming,"[('screen_minus_gaming', 2)]",3,0.9634056756014795,231143,11614995,90.72527313232422,1.3074188232421875,40.364383900072426
diff_screen_minus_gaming,"[('screen_minus_gaming', 2)]",4,0.964015931352592,231103,11614995,90.72527313232422,1.3067703247070312,44.965474100084975
diff_screen_minus_gaming,"[('screen_minus_gaming', 2)]",5,0.9628738956527136,231288,11615016,90.72543716430664,1.3067779541015625,36.06426629982889
diff_weekend_minus_screen,"[('weekend_minus_screen', 2)]",1,0.9628153084217711,231253,11614995,90.72527313232422,1.307861328125,36.63009829982184
diff_weekend_minus_screen,"[('weekend_minus_screen', 2)]",2,0.9633047725882051,231043,11614995,90.72527313232422,1.3130073547363281,37.17869019997306
diff_weekend_minus_screen,"[('weekend_minus_screen', 2)]",3,0.9634568825582027,231159,11614995,90.72527313232422,1.3130416870117188,46.79183810018003
diff_weekend_minus_screen,"[('weekend_minus_screen', 2)]",4,0.9640043952301677,231122,11614995,90.72527313232422,1.3130416870117188,42.51879670005292
diff_weekend_minus_screen,"[('weekend_minus_screen', 2)]",5,0.9629418282437625,231308,11615016,90.72543716430664,1.3130531311035156,47.55508269998245
diff_social_minus_gaming,"[('social_minus_gaming', 2)]",1,0.9629097902996024,230951,11614995,90.72527313232422,1.3115081787109375,46.63171740015969
diff_social_minus_gaming,"[('social_minus_gaming', 2)]",2,0.9634692828495586,230734,11614995,90.72527313232422,1.3166542053222656,45.92806149995886
diff_social_minus_gaming,"[('social_minus_gaming', 2)]",3,0.9635255971816757,230851,11614995,90.72527313232422,1.3166694641113281,36.40516770002432
