iterations,validation_auc,is_checkpoint
1,0.9092128723757302,False
2,0.9129229148969645,False
3,0.9166802120579727,False
4,0.9177131923053531,False
5,0.9186022737099028,False
6,0.9199107831589171,False
7,0.9199752734780373,False
8,0.9203764300329196,False
9,0.9208112216867187,False
10,0.9215830203216923,False
11,0.9223576130436766,False
12,0.9226297689164705,False
13,0.9228209122502912,False
14,0.9230740693462914,False
15,0.923441346724009,False
16,0.9236970535750524,False
17,0.9242612174832828,False
18,0.924677841926252,False
19,0.9248713784701275,False
20,0.9252930057560184,False
21,0.9256394922086018,False
22,0.9259147268417889,False
23,0.926314773246595,False
24,0.9264936482232478,False
25,0.9267287681397092,False
26,0.926937514031407,False
27,0.9272115423547924,False
28,0.9273547208877005,False
29,0.9275644233022614,False
30,0.927813776253554,False
31,0.9281244692146484,False
32,0.9283696251364445,False
33,0.9285493269852488,False
34,0.9286649196017606,False
35,0.9287934873113646,False
36,0.9289390694568307,False
37,0.9291558408798135,False
38,0.9292897007995342,False
39,0.9294129886044218,False
40,0.9295515857226511,False
41,0.9296664417911862,False
42,0.9298769838907379,False
43,0.9300284599423341,False
44,0.930149529349966,False
45,0.9303340731834704,False
46,0.9304640485293727,False
47,0.9307162125668884,False
48,0.9308333224265624,False
49,0.9309396243390419,False
50,0.9311411782951754,False
51,0.9312779407670324,False
52,0.9314235589406806,False
53,0.9314848734516636,False
54,0.9315774335304429,False
55,0.9317087743951912,False
56,0.9318839081495952,False
57,0.9319939847753097,False
58,0.9320705471994932,False
59,0.93228562326816,False
60,0.9324942405240245,False
61,0.9326824872681193,False
62,0.932785115828341,False
63,0.9328532022421033,False
64,0.9330324626188169,False
65,0.9331113236156471,False
66,0.9332038724039045,False
67,0.9333447507149885,False
68,0.9334858647315737,False
69,0.9336701004226333,False
70,0.9338081426561141,False
71,0.9339043597222375,False
72,0.9340337860189419,False
73,0.9340780216492864,False
74,0.9341704362198795,False
75,0.9342458818972772,False
76,0.9343921832109278,False
77,0.9344501902333051,False
78,0.934536115417885,False
79,0.9346339843254142,False
80,0.9346854604786249,False
81,0.9348355228046525,False
82,0.9349482708439547,False
83,0.9350778269182307,False
84,0.9351641334433578,False
85,0.9352840928277733,False
86,0.9353700559434321,False
87,0.9355222035907891,False
88,0.9355550163845072,False
89,0.9356834132139658,False
90,0.9358020456449133,False
91,0.9359101749727566,False
92,0.935960002075477,False
93,0.9360560950727197,False
94,0.9361129439920178,False
95,0.9362362904061311,False
96,0.93636410203135,False
97,0.9364080285043712,False
98,0.9365293068500874,False
99,0.9365709994489578,False
100,0.9366348769084029,False
101,0.9367486735707802,False
102,0.9368639886180579,False
103,0.9369256187562137,False
104,0.9370161148261094,False
105,0.9370685641208165,False
106,0.9372019890382962,False
107,0.9373126239739736,False
108,0.9374111761483651,False
109,0.9374980520202574,False
110,0.9375436167606863,False
111,0.9375882092476374,False
112,0.9376559447672035,False
113,0.9377443239276804,False
114,0.9378522044834634,False
115,0.937940316857789,False
116,0.9380348172571507,False
117,0.9381173507182201,False
118,0.938181451704626,False
119,0.9382909776319653,False
120,0.9383749760699609,False
121,0.9384442011772536,False
122,0.938478592741135,False
123,0.9385370862708305,False
124,0.9386360490903822,False
125,0.9387223949420461,False
126,0.9388533863080559,False
127,0.9389439555760539,False
128,0.939019175062435,False
129,0.9390610486902347,False
130,0.9390791452401581,False
131,0.9391237511742476,False
132,0.9391722099672065,False
133,0.9392814400575011,False
134,0.9393817610380306,False
135,0.9394477869949834,False
136,0.9394821502691303,False
