fold,iteration,validation_auc
1,500,0.9500314165113716
1,1000,0.9578685971540926
1,1500,0.960970406323085
1,2000,0.962453396832852
1,2500,0.9633128711907328
1,3000,0.963859099026682
1,3500,0.9642095417288687
1,4000,0.9644511591503703
1,4500,0.9646409913881976
1,5000,0.9647861503293836
1,5500,0.9648820138372551
1,6000,0.9649338204602349
1,6500,0.9649679218957624
1,7000,0.9649934275652212
1,7500,0.9650103346776958
1,7853,0.9650202929179754
1,8000,0.9650160437491028
1,8153,0.9650110568905154
2,500,0.9508094575363353
2,1000,0.9584276053533469
2,1500,0.961581126634771
2,2000,0.9630174315978101
2,2500,0.9639337581733436
2,3000,0.9644900860788245
2,3500,0.9648506160377035
2,4000,0.9651331319157515
2,4500,0.9652874536862952
2,5000,0.9654172354441485
2,5500,0.9655176100863717
2,6000,0.9655718947886098
2,6500,0.9656221055153539
2,7000,0.9656485293960173
2,7500,0.9656600779507016
2,7729,0.9656644620983974
2,8000,0.9656485866097854
2,8029,0.9656491823433881
3,500,0.9515918737019492
3,1000,0.9592161147218305
3,1500,0.9620541962023071
3,2000,0.9634417044178902
3,2500,0.9642068975901372
3,3000,0.9647549886159127
3,3500,0.9651126369545218
3,4000,0.9653418388614919
3,4500,0.9655240486016067
3,5000,0.9656544778518596
3,5500,0.9657312102681699
3,6000,0.9657829520657939
3,6500,0.9658196315460992
3,7000,0.9658478457990659
3,7500,0.9658679674119156
3,7985,0.9658836874972774
3,8000,0.9658805130845979
3,8285,0.9658714918307727
4,500,0.9521397674607416
4,1000,0.9597946092200753
4,1500,0.9626380898534769
4,2000,0.9639928862557396
4,2500,0.9648330270538246
4,3000,0.9653547118324483
4,3500,0.9657015690962159
4,4000,0.9659271117323656
4,4500,0.9660795177931273
4,5000,0.9661921292044291
4,5500,0.9662676884213444
4,6000,0.9663291922071433
4,6500,0.9663750680077924
4,7000,0.9664058883415518
4,7500,0.9664409795372092
4,8000,0.9664515134672438
4,8199,0.9664550248195419
4,8499,0.9664489843903473
5,500,0.951184472763077
5,1000,0.9588774296992131
5,1500,0.9616325302072886
5,2000,0.9629736921973132
5,2500,0.9638274905446587
5,3000,0.9643813635238248
5,3500,0.9647401337889127
5,4000,0.9649567653373089
5,4500,0.9651176643987643
5,5000,0.9652366351090015
5,5500,0.9653382995562816
5,6000,0.9654018186500297
5,6500,0.9654494837865725
5,7000,0.9654706843043913
5,7198,0.9654874019318933
5,7498,0.9654693894332516
