stage,feature,method,parameter,auc,delta,folds_improved,std,folds,train_cardinality,test_cardinality
screen,screen_minus_social,round,0.0,0.9635352400222373,-4.005392091033233e-05,0,0.0004446098520914033,"[0.9630780444472604, 0.9635703383483079, 0.9636371391648957, 0.9642932075404788, 0.9630956579710104]",17,16
screen,screen_minus_social,round,1.0,0.9635752939431477,0.0,0,0.0004410103652178554,"[0.9631281469625983, 0.9635892353835451, 0.9636895096796695, 0.964329155800919, 0.9631382997889956]",141,138
screen,screen_minus_social,round,2.0,0.9634065316265719,-0.0001687623165758101,0,0.0004289798926162377,"[0.9629701722642239, 0.9634135152831631, 0.9635421967860042, 0.9641312189981537, 0.9629751574428962]",1289,1259
screen,screen_minus_social,step,0.25,0.9635779194489908,2.625505843178999e-06,3,0.0004344697800402617,"[0.9631375723917338, 0.963599944126379, 0.963677915201739, 0.9643233519652442, 0.9631492458712347]",58,57
screen,screen_minus_social,step,0.5,0.9635787625507664,3.468607618684061e-06,2,0.0004354224661814205,"[0.96312047194493, 0.9636001778021233, 0.9636875349800824, 0.9643221201566237, 0.9631627542937579]",31,31
screen,screen_minus_social,step,0.75,0.9635509561663931,-2.433777675459048e-05,0,0.000427297193526308,"[0.9631129717400609, 0.9635668580766598, 0.9636739000891902, 0.9642745949249045, 0.9631242666690065]",21,21
screen,screen_minus_social,step,1.0,0.9635352400222373,-4.005392091033233e-05,0,0.0004446098520914033,"[0.9630780444472604, 0.9635703383483079, 0.9636371391648957, 0.9642932075404788, 0.9630956579710104]",17,16
